#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Documentary,#genre#
Tring History Albania,https://epg.pw/stream/ec6f14590cee6d880a145d07d70e6abe41e76f2bec53a6f61536836c6b9b56c8.ctv
Tring History Albania,https://epg.pw/stream/314712b0160a775ddca70c2b456ee80ced8cd1ffb741e4f4c32b13494ff0147f.ctv
Tring Planet Albania,https://epg.pw/stream/e351f0f2da3e0c3e793e3b6f4857db761565188b87f48e989ae7c308b422f8eb.ctv
Tring Planet Albania,https://epg.pw/stream/21971a8c8a24bc7c6e673291e14e59e6ba75b0de3ae6b70e2b30cc9d8ccd8a19.ctv
Entertainment,#genre#
Alb Music[geo-blocked],https://epg.pw/stream/4c9179b5ccc28cc5330542d284b670a85932d6e687ca872765d70721f5fb27ff.ctv
Alb Music,https://epg.pw/stream/0a99f506d0cf30a0d0e9e3af6247f17df0ab8b99d896dad432ba1c6a75852359.ctv
BBF Music TV,https://epg.pw/stream/dd2c34c3b270ab3133d15105c26e2149ebe90709dabf2fb979f3de7f31a466dd.ctv
BBF Music TV,https://epg.pw/stream/d3f109c8748bfea9509b36254fccaab261c93d1b973070ba1b449ce4b1b9a0a8.ctv
Folk + Music TV,https://epg.pw/stream/d356447612994d65a0e4b9080269ac4f5c2b6084ff6d5717ab95f3a8e1b24fcb.m3u8
Folk + Music TV[geo-blocked],https://epg.pw/stream/1318e0313bff996e269b2806fca9d180c4e49b15ece66ab8c305d92b90d4a49b.m3u8
Junior TV Shqip Albania[geo-blocked],https://epg.pw/stream/db4629fe660a6357214abfc7e9bc5d0a5b3bd1742b9e62e8ebac43aa2b442f5f.ctv
KLAN HD Albania[geo-blocked],https://epg.pw/stream/c75c1349c2eca4eb5b79dc5f79243a80c5d243116e1b4ad39d8ba6833d81fd38.ctv
KLAN HD Albania,https://epg.pw/stream/5a8f92873c211124ad1c1340d27403030be008a31f72376c68585e2f89518c60.ctv
Klan Kosova TV ,https://epg.pw/stream/ccaf7ad267dd143d22b36b81c4a42401d9a92d1f10f9d3cd8b7a6fcccb04795b.ctv
Klan Kosova TV ,https://epg.pw/stream/42693aa121a7eb1d822700765354d0e532c22c5ba3f23cce6dd6ebef9adab9f9.ctv
Klan Kosova TV [geo-blocked],https://epg.pw/stream/6bc93e932fcd6745c41dce7a16a6d9c394bfa79ab4c3a01358e58c7ffb008571.ctv
TOP CHANNEL ALBANIA,https://epg.pw/stream/488692508f7937304ace9af8e22300811c79025f6d5496bf321245e07ac3b0c5.ctv
TOP CHANNEL ALBANIA,https://epg.pw/stream/e01f0a8c08c2cca7efb17df742e6cd2eeda47791086c5a82a7ef60be9377994b.ctv
TVSH ALBANIA[geo-blocked],https://epg.pw/stream/cfbc34cc2e103d48fa477c21664ceb22977e53b8559d83052e83b2453d3c6445.m3u8
Tring Life Albania,https://epg.pw/stream/f18547aa9bfa7cbe693f6a65d965a6fb692c7619613f8c23560c5b34f8fce670.m3u8
Generic,#genre#
3 Plus[geo-blocked],https://epg.pw/stream/44fb52893cbbaf9a4bafb4b08a50c89c377a094b818cf5723b7dffe13535b85a.m3u8
