#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
El Fadjr[geo-blocked],https://epg.pw/stream/102812ef4a57f0cc0ec72a473e4d3c2b2e3f60e264d74139f714110cc9185d23.ctv
Generic,#genre#
Bzaf TV Algerie,https://epg.pw/stream/d8a9307a09005cb7918732666ea590ca75206b9c3bad3c62b0a36aa209beb6e0.ctv
Bzaf TV Algerie[geo-blocked],https://epg.pw/stream/8e26520f7a7eb19cbdebe58d95994581c075f837a1375d4ca96dadd7264f5c8b.ctv
Bzaf TV Algerie[geo-blocked],https://epg.pw/stream/ac591229209788628439a437e27cff6297d40e86767b17c12699d9e0c33c90f4.ctv
Bzaf TV Algerie[geo-blocked],https://epg.pw/stream/6179e905bb0b55c4fb4e67fc8654d94f1e5ab9addc76a7b9bdce646be52c90a2.ctv
Dzair TV[geo-blocked],https://epg.pw/stream/656d259e4957a2f7bfb73cb543e74e52cc18363e85cb2ee0669fce133f6c2bcd.ctv
Dzair TV,https://epg.pw/stream/3845c34d0632675fe4f54237292b8588ebeaf4e07ee5e3f123318c9a7427f54f.ctv
Dzair TV,https://epg.pw/stream/3ebca7ea012b4435d17cb4f21d37ae8168bac61f99d180730aa709c0efc13a46.ctv
Dzair TV[geo-blocked],https://epg.pw/stream/f3aa143232c4930f2630056ba5d80e4bf363aaf21388c5631548cc9405dd8f95.ctv
Dzair TV[geo-blocked],https://epg.pw/stream/a48515dda8aaf0cd1fe0c3430b7dc6e03f9d9c8a8ca671e3b6c70132ae437640.m3u8
Dzair TV[geo-blocked],https://epg.pw/stream/0443f9d9e34505e6f459a4cbbcbb7aa377b7e377a3b26e081655b38d78180350.ctv
Dzair21,https://epg.pw/stream/9f17072df9f77587d8e8b6f564b00ec0089b76b41c4d7af43ce76a3e1e9231d0.ctv
ENTV Algerie[geo-blocked],https://epg.pw/stream/93333625e046e4e7db74515903757407b3bb08df777414c58c431320ead4009d.ctv
ENTV Algerie[geo-blocked],https://epg.pw/stream/6ffb4a1dac09a8fe1d5eed4318f521ef2b5b1b85313dc75ea4fe9c0d59c68409.ctv
ENTV Algerie[geo-blocked],https://epg.pw/stream/76dfc5ab17a8928ffb1bf66489dbae840da15637db4b3df607f412fce47f509b.ctv
Echorouk TV,https://epg.pw/stream/0470e33ac73e1a6e6d4f9fac77bb3187b1752b98f8f6e45f7d2b8542b932e4b7.ctv
Echorouk TV,https://epg.pw/stream/c6c5c3b64618c73ce113e1d57d0b6f1b451de3b4798c09b2e8916ce2e96b4cc0.ctv
Echorouk TV,https://epg.pw/stream/e3b6922506d48a12ac4aaed104eb1bda213c0221861805a83248ce6046923e16.ctv
Echorouk TV,https://epg.pw/stream/7df659d650e2e885632706cdf2a3360063059fa4d518f98857928e6062b6756c.ctv
