#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Afghanistan,#genre#
Kabul [geo-blocked],https://epg.pw/stream/b42ef91ddc484db21c98ec10ebf8841d185007145c0f1481aaf9c1be0a217a16.m3u8
LCN TV[geo-blocked],https://epg.pw/stream/5f5b43beb3594bafeccf5d71b1564085611bc6e735ad52517cdca71cf2d3a76b.m3u8
LCN TV,https://epg.pw/stream/b66bd4bc1d595004a6fb18fcdc0ff1f6abb83396590eea57b6ba9a620c732185.ctv
LCN TV,https://epg.pw/stream/1bddf179f64bdee981251e3ecf1a9305efb5bca3425c9216e58576c1aaf89301.ctv
Pashto TV[geo-blocked],https://epg.pw/stream/0d6f9613fea54b79133526128b049770221bf06ce6389b713adf1760feca0c14.ctv
Africa,#genre#
Algeria 3[geo-blocked],https://epg.pw/stream/581ec7b20086ef3cc318ccfe4b7b3997b75ed5b45f46b62542ea403eacca15b2.ctv
Algeria 3[geo-blocked],https://epg.pw/stream/a2b428ab2de991987472501ac0fca05437658b27d9409b5801e041145f6c7412.ctv
Algeria Tamazigh,https://epg.pw/stream/d34a263131b530babd5a8cc469a1ded31198256710c2a08c0261a081a8b19f6a.ctv
BEN TV Uganda[geo-blocked],https://epg.pw/stream/8bc1b768c1e9745caaa5f9229bc01d8e4829aa33230b3da6ddfda9865a72408f.m3u8
CNA France[geo-blocked],https://epg.pw/stream/4d6b090ec01069ac0260bebc518cb4f4a812a03058e5bbd987f98810b5efd242.m3u8
CRTV Cameroon,https://epg.pw/stream/1b2eedb50b7cb8f73a69d8a693eaf70810520e408c6c0a84d01b65a8fe3d8c79.m3u8
CRTV Cameroon,https://epg.pw/stream/d37c6b65574ee2b5ab611c70406787d1cae1f6544b352d382a9796213d6db24b.ctv
CRTV Cameroon[geo-blocked],https://epg.pw/stream/6b506624e894f646c1d67bd08df6b07e4cbdc444336d0fa40e67cd933813e909.m3u8
CRTV Cameroon[geo-blocked],https://epg.pw/stream/f4a533299a4fab6e96d6f2e46849e4cbc21225d182cde99fc9d9b5463023ea64.m3u8
Canal 2 Africa,https://epg.pw/stream/c88c58ca7512c7c1e83dea5d7147099ecbffd8d1bd4c4c174a1ec319e5ef229c.m3u8
Canal 2 Africa,https://epg.pw/stream/416bf7f2fdc1c430cc091f80ffe687f18018ae3eedeed27f56b44a216f268763.m3u8
Canal Algerie[geo-blocked],https://epg.pw/stream/fcb26f753244252da1c93776c26bddd0ee266b09ca1f2287bb8a3843bed1e8af.ctv
Canal Algerie,https://epg.pw/stream/d44159951c85e51bb4503134ff9e0ae618e80e037056e63d58d7172ff64203fb.ctv
Canal Algerie,https://epg.pw/stream/42c783c95d68bc03d2b67f9875d2fac6582f7a32af00b5278f8ebd4be5b26acc.ctv
Coran Tv Algeria[geo-blocked],https://epg.pw/stream/14d079850e43d40d7c17eec0fe796dfe536917e6b4344ae7c93b791a29bf9629.ctv
Coran Tv Algeria,https://epg.pw/stream/7c2827a5e8a50aff9b9b4c0481b419512bda84f8f2fc8cbb027f72a5b2b0822d.ctv
Coran Tv Algeria,https://epg.pw/stream/e64b3a59a25c2e989afecb36d5abe69b094a7ffac9dc61a0ed4e0839597d04da.ctv
Diaspora Ghana Television,https://epg.pw/stream/794e84d69878afd795990cfba8eb5228fcb3e8f460ab7000b6404c24b3dc16a3.m3u8
Diaspora Ghana Television[geo-blocked],https://epg.pw/stream/46d01fae9bcf5f3b4ecf6df1081acf0f17c22f59718878fdd1c5b1e3e5204c96.m3u8
GHANA TV[geo-blocked],https://epg.pw/stream/942bed914c5fb05095b701329f1f6d6bf71aaf8e99b25b1b368e99e5e0e01fae.m3u8
GTV (GHANA)[geo-blocked],https://epg.pw/stream/5819521ef7f5a8534ae5b9cd7e77a2b9e45e423cbab095f51b9166639185735d.ctv
GTV (GHANA)[geo-blocked],https://epg.pw/stream/172b4d30b28891a9cb5fa7c6975203d6358a5faf28bc1b21655265d75eab7ce2.ctv
GTV (GHANA)[geo-blocked],https://epg.pw/stream/3c159b9aa16ea24e0f2600b7795626318bb8678b606bf3a5bb53f211c40613ef.ctv
GTV (GHANA)[geo-blocked],https://epg.pw/stream/e69aa75df1f950b794074a19b6fc359e41edfd9505836b7f3a858173d91579e3.ctv
Kalsan TV Somali,https://epg.pw/stream/216f1e040083dd982e82ca2bdd0d8ed6635f0f5ccff90a625350f6a0a59cb432.m3u8
R2TV Africa,https://epg.pw/stream/70a0e8345486bf890b7a5ee0ebdfe84d0c2e00a0e04776a1caaf21a908dbe1a9.m3u8
R2TV Africa,https://epg.pw/stream/db5041b4346698c8d4d189a50e4a4c73fe56679a918ebee73a8932efe495cdb4.m3u8
SNTV Somali[geo-blocked],https://epg.pw/stream/318a0188d5b2a2d6385266af9e276a90a789dda42bb9c63931f2faeb116b4a33.m3u8
SNTV Somali[geo-blocked],https://epg.pw/stream/8e64893378d0fde6a7b30b98ee53d2423d3d52f908a39ec7fd73828b0f2c4cb8.m3u8
Somali Broadcasting Africa,https://epg.pw/stream/97680ab69e00a7553e63b58771709ed2adc0a248c7fff459c48e6e2d5bc38186.m3u8
Sudan Sport[geo-blocked],https://epg.pw/stream/e250693d4cfb39c140cc1d684b6be07959bbfe12edc8e8ae385dc6af242cd6f4.ctv
Sudan Sport,https://epg.pw/stream/351c85716309a48267519d8bb556a415612e9ba239646a3320662080435f1494.ctv
