#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Anime TV SP/1[geo-blocked],https://epg.pw/stream/0dc4ef2bbbaefd937f401933821d70f30c850d00ab4024407c1d64aadfde0135.m3u8
Anime TV SP/1[geo-blocked],https://epg.pw/stream/443fb1bafa5a47efdc5f9479b75dff53c391d9449d0683ad3ac20b1ef10b9a94.m3u8
Anime Zone TV[geo-blocked],https://epg.pw/stream/450b41f7a4a8a6bc9c865e3f31522a3d09877ead2af68b669f34a11f7df81c77.m3u8
Documentary,#genre#
TEC TV HD,https://epg.pw/stream/2340b2c3db275c3b6cffcfc529d554777e2f303b87f6b10204550190c97d3bc2.m3u8
TEC TV HD,https://epg.pw/stream/190ed9f3945f2446131b27edb62a222af8ca962683616b9c6f03360d3366e0b5.m3u8
Viajar Argentina,https://epg.pw/stream/eda09bf5423d241852aba9e4738f79b6303c52d5ec8bbbe871f8b7dfc03c58ae.ctv
Viajar Argentina[geo-blocked],https://epg.pw/stream/b2f8c0012b5edd2ca29ba00e9e0f1bf10be453fb1e7e67593e3c1abb1b45d5f7.ctv
Entertainment,#genre#
Magazine[geo-blocked],https://epg.pw/stream/6ad75d29d03064adcf5e541bd117f8a0f4d21344a751c61b82e8020ff8a97b6e.m3u8
Magazine[geo-blocked],https://epg.pw/stream/235f514e80e34cedabfb9f2147d36ec0aa7ad401535c47e9fa7262ba43277ff0.m3u8
Magazine[geo-blocked],https://epg.pw/stream/0865bdb7acddb414a6eb6418ac666f950adc988c1c3bcad00f3617c0526f63b5.m3u8
Magazine,https://epg.pw/stream/9b8c0f36ac3f4e0299fbce1a52cb76e80f74a06e2d9625c4db1e000974e8d87d.m3u8
SUN CHANNEL,https://epg.pw/stream/8bf93be3d68df0e585182621725c9ff9372377e01506a211730d6ceee11eb00e.m3u8
SUN CHANNEL,https://epg.pw/stream/9e34ea4c3bfc68aedd4274dbcf9f7e2b9e8463670792a5dab307a469d2081557.m3u8
SUN CHANNEL,https://epg.pw/stream/a5e19767d656d8350228d78103d43b8d50c0bed52a492c83a8ec51ae2143a1b2.ctv
SUN CHANNEL,https://epg.pw/stream/3cbff419d544b8dc5b9b2bfabc0a546ca43703f600447d9893cfcf8aeb562190.m3u8
SUN CHANNEL,https://epg.pw/stream/2523451aa965ddf33a620385f9c16194aac7ad801a4ad53021b533e15afb3244.m3u8
