#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
3ABN Kids,https://epg.pw/stream/765db6199e2852ed8609d84b7ad0c635167e19d3df2893b09bb20f7dc0cc8e63.m3u8
3ABN Kids,https://epg.pw/stream/2381376279c1a7c5adc8da9330c4bddb74a9c4f19188461125d0053747c2b582.ctv
3ABN Kids,https://epg.pw/stream/891f813aa50efd763be4db242dfb903529f701a36818e82213a2017779cd2861.m3u8
3ABN Kids,https://epg.pw/stream/00401031bae50064ec350aae0c5e53a9431d21689989b2d4340e56573caa4ea1.m3u8
3ABN Kids,https://epg.pw/stream/738e6f77f10848694d1add81e8d69f12a66384f00a334066668f20b2485d0044.m3u8
Anime[geo-blocked],https://epg.pw/stream/6debb5df78abd34da876742837d79c624ec5aebc3ba65ae645b7db5afe540eab.ctv
Anime,https://epg.pw/stream/c92eb1b3564983de6fb33411deb3cd60dca01807f73fa89767337dfb6099a3a4.m3u8
Anime[geo-blocked],https://epg.pw/stream/28b44ea09a55a660409e0631a40f8946cd1a5bdf360fde77f12ab37dd346b4a1.m3u8
Anime[geo-blocked],https://epg.pw/stream/b39caae4f41fbd21b88dedbfe3912f27e363adac9d42ceba80d5fa114a9240d6.m3u8
Anime[geo-blocked],https://epg.pw/stream/2d7a8d3b20c6a20b93e9985258ec3820c309d15a21137801275eab4cf9e0de97.m3u8
Anime[geo-blocked],https://epg.pw/stream/64d049478dfb369d30b6f4046a582e429a249239b34e3b0ac031ed5674878089.m3u8
Anime,https://epg.pw/stream/6003cc5d01e1886b82a3ec76b29a683a3a9ab3a9a1843087f58571a9b6f662bd.m3u8
Anime[geo-blocked],https://epg.pw/stream/c44d4739f8bf4892ac93c14d583e822d818f36b2c39c63bf534e116e1774e324.m3u8
Anime,https://epg.pw/stream/12a372d649aae4581e47b8573d0a72687ee35318e98cebefd7f5be5ee11242cb.ctv
Anime,https://epg.pw/stream/f21d56892ab388f280a1bd1c841c84b3ae0f378c71bc7d8ed728777ddff5d573.ctv
Anime[geo-blocked],https://epg.pw/stream/5cfa59d3c36077e9767247d3512f5df2b525a1dc0d46e3fb15b54bc4dd59f453.m3u8
Anime[geo-blocked],https://epg.pw/stream/3209fb5582c09528c67994f8ff6dacbb782632f7418b5b0a677df905a264312d.m3u8
Anime[geo-blocked],https://epg.pw/stream/7218d1a24e99b6be3a780e57aff6ee6ed7475415fd7c3037155fc5e622974c32.m3u8
Anime[geo-blocked],https://epg.pw/stream/b425ed510933b9072aca5b225bdbe98fd4171c20908f199507457809bcda14b5.m3u8
Anime[geo-blocked],https://epg.pw/stream/d427c284d57e432cbb6e4980ede69d41bf96a7b2807132f303cb4c5ea963be1c.m3u8
Anime[geo-blocked],https://epg.pw/stream/0609ed1c4d42766df191f8967dc598c79ea9437e886277d1d1f0a108aea85c12.m3u8
Anime[geo-blocked],https://epg.pw/stream/0adb4fbcb56e6141822d2f2055b547936b7d8b884126e9dab0e3b7f7f734be90.m3u8
Entertainment,#genre#
Armenia TV[geo-blocked],https://epg.pw/stream/b8105e665399c439fb224c913a0716eec6d9e296b2da49a0e2f91f5691f52367.m3u8
Armenia TV,https://epg.pw/stream/ecf0b81ff46a3ebdd36c0815df08360a2d223fd40bbfe3b62f7cc7261a843541.ctv
Armenia TV[geo-blocked],https://epg.pw/stream/7a6a75e073bbb8d93674370d287aecb9df119c23f39a7a96603b02118c2fccca.m3u8
Armenia TV[geo-blocked],https://epg.pw/stream/c8db6b9ccbfbdd3ae8e847364197aec6c70217abe58eb6c41e4465aa927a28e0.m3u8
Armenia TV[geo-blocked],https://epg.pw/stream/4b6213c5720279dca25579e1a09d2969e1237d51f316feaf8f4669d11eec7def.m3u8
Armenia TV,https://epg.pw/stream/489516d891d72920c592b572c534110330f91c8480ce55dce8ccb2401fd7dc91.m3u8
Armenia TV[geo-blocked],https://epg.pw/stream/b88574071a4e2ce8dd117e8ee396ccf92ccbd1b2a3b74903c558e30f58e30d2f.m3u8
