#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
ABC Kids[geo-blocked],https://epg.pw/stream/abc5bfe71b0f208097ba66b02590a99812d78df561dc144d78e5569ccd380c64.ctv
ABC Kids[geo-blocked],https://epg.pw/stream/86419a15ebbd8ef0002e6352ee5a15edb8c4ef036df0c31b36de86b6a3995906.m3u8
ABC Kids[geo-blocked],https://epg.pw/stream/24de1b634c462803de56fa957d6f51231e5c19e85740f56492ccfd2fe6f91bfc.m3u8
ABC Kids,https://epg.pw/stream/5a6e946055be0fa26b82f3d7839750ae18ce0e647388f8537d75c448917171a9.m3u8
ABC Kids,https://epg.pw/stream/6e40cb2088179ce0674c71e461bf9313fcb454be8fedfee04e38a1e2089b25fc.m3u8
ABC Kids,https://epg.pw/stream/848b6c078d62cd4506f56f6c3898f71af20f896274bbbc2e7b7bc442c30caab6.m3u8
ABC Kids[geo-blocked],https://epg.pw/stream/21ab2e0650287f8045281ea77c472b92a6729d9301adb09534a97507806b43cf.m3u8
ABC Kids[geo-blocked],https://epg.pw/stream/e19570965720c62332867e4f6e6af9244a93b3d4c6bbf75145d8de015b1df1e1.ctv
ABC Kids[geo-blocked],https://epg.pw/stream/b3f64de77a5190be1df2b8243a52527fe1bc55b71b2bf7dbad6c48c0d5dc1031.ctv
ABC Kids[geo-blocked],https://epg.pw/stream/1cd70fee54aefccc0f91f053ea73b1d79ec3e6986d2d9829bd276d67d4c45c8f.ctv
Entertainment,#genre#
SBS Viceland,https://epg.pw/stream/075bb57792615eee22a63aae4d974365f9d1dcb9d83ed3c9addf54e3f6b4b5e0.ctv
SBS Viceland[geo-blocked],https://epg.pw/stream/a6996b20ec73a21b681a0a8b51bbcbb4b57f347134e75bc6de506c5ae4518b8b.ctv
SBS Viceland[geo-blocked],https://epg.pw/stream/dd0b6ba9bb2469c44c97d8e7f322b55ee6a34cc14c5c18db8ab7ad9f2bfff4b5.m3u8
Generic,#genre#
4ME Australia[geo-blocked],https://epg.pw/stream/595f89158055ee22a95200ab51c0206491e9dd6253a47efcbb9b3e8d67c31fa3.m3u8
7Mate Australia,https://epg.pw/stream/766db1eae1166b97e35ecde7bb858a40f79665c91ca221a1958d52ab37604910.ctv
7Mate Australia,https://epg.pw/stream/fe731701b708ae6b4c672e9a17355c98ffdd8cc267b4f90a4c474ffc04ee3b65.ctv
ABC 2/4 Australia[geo-blocked],https://epg.pw/stream/fd0ce9278d8767c60210eca7ac9ea8b01d5951958e77855c3454a0e44259d050.m3u8
ABC 2/4 Australia,https://epg.pw/stream/4a3b70840b81b88863d3fce9dc86935d5ca0a9558b9b798a4c04ab8a497cfff6.ctv
ABC 2/4 Australia[geo-blocked],https://epg.pw/stream/9edfb06961d60ec6d1de46132b5f14710caea445f40e193782bc606e1970cbdc.m3u8
ABC 2/4 Australia,https://epg.pw/stream/e3a6388860dd2b2dd3c1d9f3c751dcb31e3c3cac8c957d83d09fd1c2513372c8.m3u8
ABC 2/4 Australia[geo-blocked],https://epg.pw/stream/adeb8be55a26bd89eb52c228524e11768b85f27c991f167d1091344b0b19c180.m3u8
ABC 3 Australia,https://epg.pw/stream/ac96f08bd4ffedde7e1b8fe140f03c32b4254d94b4864e8f25fb3260ff587220.ctv
ABC PLUS,https://epg.pw/stream/803dbe97c305ea804a057f4165d90632d553c5c42808253769a011085e66f98e.ctv
ABC PLUS[geo-blocked],https://epg.pw/stream/db3d385e3f3689c896af9428db44339938298739b1c976c3d438fd9443e889b4.ctv
ABC TV,https://epg.pw/stream/2608421129443dcececb44a1b1e8089233d22c711e10cb4b448d7495ecacfcaa.m3u8
ABC TV,https://epg.pw/stream/a753db2e498fc0a5587d586abf35c5df81918d77bf3b218e909165f5a0f22c29.m3u8
ABC TV,https://epg.pw/stream/0e2642f0be863fad11026ceeba131b3aa19f6f2938d044d77cf3710df0fd29d5.ctv
ABC TV[geo-blocked],https://epg.pw/stream/8922f9485a3fde25c9cd4b27d973ffbc858395cd493ea323c467562ace5120ce.ctv
ABC TV[geo-blocked],https://epg.pw/stream/a94b24f8a9052334075a596ab57ac692b83bf4f6fce9d3832b29cd32db6afb3f.m3u8
ABC TV[geo-blocked],https://epg.pw/stream/562442375aad0d9149a7c363a97102e17e31f7bf6647b5aedf6670f7d9dab03b.m3u8
ABC TV[geo-blocked],https://epg.pw/stream/3473ae56c1cbac182647166c9ca767235d50bd69cd5f659df85a8390684c6469.ctv
ABC TV[geo-blocked],https://epg.pw/stream/41cd1407b4c241b36d1840decbc7cd53936096e4f0fc87060edf7735d2bb02d6.m3u8
ABC TV[geo-blocked],https://epg.pw/stream/baea3fc6c19f8aeed12489f4508869b443db1c5235d35084e06b05e124714528.ctv
ABC TV[geo-blocked],https://epg.pw/stream/6095824a853c1f273c4593e4b84dbba69bed408d2ffa393c089ff3697a0e1b4e.m3u8
ABC TV[geo-blocked],https://epg.pw/stream/0dda434e2fa24d52d811410603fe7b31d4deb8a6f32b1e993c1d680a772b62e8.m3u8
ABC TV,https://epg.pw/stream/c264b0ac58f990b395aabf07256eb27098b50ec6ba2e91f6fdd0d23aca8321dc.ctv
Channel 31 Melbourne[geo-blocked],https://epg.pw/stream/77cac1f5ab43dae2fda3ca22ab356ee3147e5752923cdcc4399b461b695cf2b0.m3u8
Channel 31 Melbourne[geo-blocked],https://epg.pw/stream/b08cb8def6c7a131633d5731409fd693ed05fcfca38faf10fec6f423f08b57f9.m3u8
Channel 9 Australia,https://epg.pw/stream/e84369bd0d43cb7873bb9b3e6dbf21430d58848293a940b7aa866582909d6199.ctv
Eleven Australia[geo-blocked],https://epg.pw/stream/6ef4a385ccb00dcf975fba41ff2dd9430eaa50d9a05934e9c253c9f92ea556fe.ctv
Eleven Australia[geo-blocked],https://epg.pw/stream/f2815b7127afe41f4ca3097eba09d238cbd917245e32170d8d1b7cf2c571647f.m3u8
Extra 2 Australia,https://epg.pw/stream/9b513e7accdd24195b05da34a339435cbe5f407aead6ca397b5fd2474f39f931.ctv
