#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
LuaLua TV[geo-blocked],https://epg.pw/stream/384da7ff40accd518c5104aa84bb1b5e26a0c9aa5bae2296de1a05a03f6cb0d1.m3u8
LuaLua TV[geo-blocked],https://epg.pw/stream/b72cf05f9c329cdde8e592acfb2270bd5c2c3b445aa468e5a7e218cdc84c2e32.ctv
LuaLua TV,https://epg.pw/stream/564d997a1cceccc37d77aef1999eb7823a958772d0ae663f23e11b1ddcbb0fb1.ctv
Other,#genre#
Al Maaref TV,https://epg.pw/stream/821e1e7aa737089b6f78022e60dc95ce355c7d0f07f6004e25950fd4e3560038.ctv
Al Maaref TV[geo-blocked],https://epg.pw/stream/134301acfe64827becc960c522e7d4693e277b9ecc041691d77ba03581862b54.ctv
Sport,#genre#
BAHRAIN_SPORTS[geo-blocked],https://epg.pw/stream/42a12aebf5897e8d45fd03c5db0893f594fae75c26c809bf92a48d4a4fb45dd7.m3u8
Bahrain Sports TV[geo-blocked],https://epg.pw/stream/d68c54465195241e71db10d6c6789c55d8607c89e8a93612bdb2fcfb2abfc5f1.m3u8
Bahrain Sports TV,https://epg.pw/stream/ea1f9eeccf09d6e7f79aabf9876e4b886aa9152835860b3fbced136df8307123.m3u8
