#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Afghanistan,#genre#
Kabul ,https://epg.pw/stream/b42ef91ddc484db21c98ec10ebf8841d185007145c0f1481aaf9c1be0a217a16.m3u8
LCN TV,https://epg.pw/stream/985028985233267c002f714e080f7b786548a33e980c0993293b106feb6bff17.ctv
LCN TV,https://epg.pw/stream/5f5b43beb3594bafeccf5d71b1564085611bc6e735ad52517cdca71cf2d3a76b.m3u8
LCN TV,https://epg.pw/stream/ce1e921668f03430aa5925df256552084061bca260b347b1ad69958320984be9.ctv
LCN TV,https://epg.pw/stream/ec916af48e22aeb7262d6dea4c70394cc371d0d2fdceaf7f3fbcda44168b9718.m3u8
LCN TV,https://epg.pw/stream/1bddf179f64bdee981251e3ecf1a9305efb5bca3425c9216e58576c1aaf89301.ctv
Pashto TV,https://epg.pw/stream/0d6f9613fea54b79133526128b049770221bf06ce6389b713adf1760feca0c14.ctv
Africa,#genre#
Algeria 3,https://epg.pw/stream/713236b548e292b08a0855117dfc4b1e071325fb162312e6172d5042ffa8b5d7.ctv
Algeria 3,https://epg.pw/stream/a2b428ab2de991987472501ac0fca05437658b27d9409b5801e041145f6c7412.ctv
Algeria Tamazigh,https://epg.pw/stream/d34a263131b530babd5a8cc469a1ded31198256710c2a08c0261a081a8b19f6a.ctv
BEN TV Uganda,https://epg.pw/stream/8bc1b768c1e9745caaa5f9229bc01d8e4829aa33230b3da6ddfda9865a72408f.m3u8
CNA France,https://epg.pw/stream/af4ae06de030aabc8739d4081bdc5c78447a88ddd16d3b8b727867875d015cfb.m3u8
CNA France,https://epg.pw/stream/4d6b090ec01069ac0260bebc518cb4f4a812a03058e5bbd987f98810b5efd242.m3u8
CRTV Cameroon,https://epg.pw/stream/1b2eedb50b7cb8f73a69d8a693eaf70810520e408c6c0a84d01b65a8fe3d8c79.m3u8
CRTV Cameroon,https://epg.pw/stream/d37c6b65574ee2b5ab611c70406787d1cae1f6544b352d382a9796213d6db24b.ctv
CRTV Cameroon,https://epg.pw/stream/6b506624e894f646c1d67bd08df6b07e4cbdc444336d0fa40e67cd933813e909.m3u8
CRTV Cameroon,https://epg.pw/stream/f4a533299a4fab6e96d6f2e46849e4cbc21225d182cde99fc9d9b5463023ea64.m3u8
Canal 2 Africa,https://epg.pw/stream/416bf7f2fdc1c430cc091f80ffe687f18018ae3eedeed27f56b44a216f268763.m3u8
Canal Algerie,https://epg.pw/stream/fcb26f753244252da1c93776c26bddd0ee266b09ca1f2287bb8a3843bed1e8af.ctv
Canal Algerie,https://epg.pw/stream/d44159951c85e51bb4503134ff9e0ae618e80e037056e63d58d7172ff64203fb.ctv
Canal Algerie,https://epg.pw/stream/42c783c95d68bc03d2b67f9875d2fac6582f7a32af00b5278f8ebd4be5b26acc.ctv
Coran Tv Algeria,https://epg.pw/stream/14d079850e43d40d7c17eec0fe796dfe536917e6b4344ae7c93b791a29bf9629.ctv
Coran Tv Algeria,https://epg.pw/stream/7c2827a5e8a50aff9b9b4c0481b419512bda84f8f2fc8cbb027f72a5b2b0822d.ctv
Coran Tv Algeria,https://epg.pw/stream/e64b3a59a25c2e989afecb36d5abe69b094a7ffac9dc61a0ed4e0839597d04da.ctv
Diaspora Ghana Television,https://epg.pw/stream/794e84d69878afd795990cfba8eb5228fcb3e8f460ab7000b6404c24b3dc16a3.m3u8
GHANA TV,https://epg.pw/stream/942bed914c5fb05095b701329f1f6d6bf71aaf8e99b25b1b368e99e5e0e01fae.m3u8
GTV (GHANA),https://epg.pw/stream/5819521ef7f5a8534ae5b9cd7e77a2b9e45e423cbab095f51b9166639185735d.ctv
GTV (GHANA),https://epg.pw/stream/172b4d30b28891a9cb5fa7c6975203d6358a5faf28bc1b21655265d75eab7ce2.ctv
GTV (GHANA),https://epg.pw/stream/3c159b9aa16ea24e0f2600b7795626318bb8678b606bf3a5bb53f211c40613ef.ctv
GTV (GHANA),https://epg.pw/stream/e69aa75df1f950b794074a19b6fc359e41edfd9505836b7f3a858173d91579e3.ctv
Kalsan TV Somali,https://epg.pw/stream/216f1e040083dd982e82ca2bdd0d8ed6635f0f5ccff90a625350f6a0a59cb432.m3u8
R2TV Africa,https://epg.pw/stream/70a0e8345486bf890b7a5ee0ebdfe84d0c2e00a0e04776a1caaf21a908dbe1a9.m3u8
R2TV Africa,https://epg.pw/stream/db5041b4346698c8d4d189a50e4a4c73fe56679a918ebee73a8932efe495cdb4.m3u8
R2TV Africa,https://epg.pw/stream/f6f5407b57d0e92c71009820cb68261f091db38da6d18846df29b6bb7f32919c.m3u8
SNTV Somali,https://epg.pw/stream/318a0188d5b2a2d6385266af9e276a90a789dda42bb9c63931f2faeb116b4a33.m3u8
SNTV Somali,https://epg.pw/stream/8e64893378d0fde6a7b30b98ee53d2423d3d52f908a39ec7fd73828b0f2c4cb8.m3u8
Sudan TV,https://epg.pw/stream/75ab1d6f542912b0ad1f67ad8bb5166958b124ce499d9a1fc1f84f369dad3cb0.ctv
Sudan TV,https://epg.pw/stream/dfa74338cbd77d9948348fd2bce52faf788bf8da940c9cd5c0d7af5ce208ea4e.ctv
Sudan TV,https://epg.pw/stream/de0822f67f0c57c405d568cc38bde5c405c67721243258a3e259fa5562a16f49.ctv
Sudan TV,https://epg.pw/stream/c9eb56dfe60c13defbca3e4c7fc6a9424da14fdd8b335d42ddc0bca59a4e22a9.m3u8
Sudan TV,https://epg.pw/stream/42517c25c08413c220d9474aa5e6af33aa2fb012998d94152e93f484ba1992b1.m3u8
Sudan TV,https://epg.pw/stream/90cf5099e0fdbd21cf01b45cc0f342f46485289e661c1267c516f60049fb8ea6.ctv
Sudan TV,https://epg.pw/stream/20335305f62cb311246389fd307b2cd52d0e3e1ad8045d4f68723567973e6e87.m3u8
Sudan TV,https://epg.pw/stream/bab58dbcf1c63bf9dfca87c943439aed9784385471f6cb97d8ee9222dc4e42d5.ctv
Sudan TV,https://epg.pw/stream/9ffdcab4aef0d885a9af59462ea28291202119462325bb8afebb4aa95e677f00.ctv
Sudan TV,https://epg.pw/stream/73d98fc7f437b1b234a83fb003359085a2acedc3c02645672e50c5516927c00c.ctv
Sudan TV,https://epg.pw/stream/e8ca5244c6c28df685b7b8ed1681693d89e165749bcfc3e65e3ae09aac2112f5.ctv
Sudan TV,https://epg.pw/stream/1ba796439a1530c694739536aea46d35be05112993cceb362abb473b6434d8ad.ctv
Sudan TV,https://epg.pw/stream/d09af6b1b71925c6806fe83c7b04db6e00c94c1618e3d44bfe1c54546725cb79.ctv
Sudan TV,https://epg.pw/stream/e590901805fdec78be8f5d94cbd3d1aa3b05d409402b66b48f0370422a47792b.ctv
Sudan TV,https://epg.pw/stream/da3ddedcd1e54f79cf09f5cda0dbecd1ea267b0ed681fa99aaf8fc9e38bcad4d.m3u8
TVC News,https://epg.pw/stream/7607da1e01845bf4dd228390bdaf1992130fe9c1bd085aade8be2925d5fb9572.m3u8
TVC News,https://epg.pw/stream/623be98c00f0c58a14e3ef8fba0d39e6614fdba6db050b8d229ec67d5e78a0c7.m3u8
TVC News,https://epg.pw/stream/a6ee8628912e8ac9b08806e8e3febad8f6086a91f63baaa8833c68ee4825d6e1.ctv
TVC News,https://epg.pw/stream/32f12d4fd4a22e8e2bdb22e6b490f44939e48339ae7394956ff814bdf18a268d.ctv
Telecongo,https://epg.pw/stream/a110f9d910d739462aecbdff434de305d80d6647d858085aa7ee02a5f587dfb8.m3u8
Telecongo,https://epg.pw/stream/4162b1ea771a3434f665d766600f4cfad4666245abfca9d887058456c1b854ff.m3u8
Universal Somali TV ,https://epg.pw/stream/88b007551a5802b2598a20139c1e5a9cb65c2ffb18b17d6088e240beb09ea70d.m3u8
Universal Somali TV ,https://epg.pw/stream/d98ac1e0f085b17ff352c4ee7126171da8502839096514c5522a26a61be73b21.ctv
Universal Somali TV ,https://epg.pw/stream/7f185efaf17155e0bbe2309f27bfc1c5df820fa280ffeb6c41b153a7da14ca0f.m3u8
Vision TV 4 Africa,https://epg.pw/stream/a4049b61a819fe9ec7f894abc60c395add32e28d1d9c55eeaf98c19d88fcea58.m3u8
