#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Documentary,#genre#
Bulgaria 24,https://epg.pw/stream/975320236174274dcf97d0348789974c522c939de0ae908f1a75a15d76c3e25d.m3u8
Bulgaria 24,https://epg.pw/stream/9a911fc7009bbd779b80bfbb1e0de9d1c11bf606e257b16e2f0b7a1df4831384.ctv
Bulgaria 24,https://epg.pw/stream/479857bf2c484afd8b868919803988a17565c8d151076e4840a72581667df17c.ctv
Bulgaria 24,https://epg.pw/stream/6335138dda01da5c641c50f6dff186971dd6be9cfb9e2353daf36c4ef8ce409c.m3u8
Entertainment,#genre#
BNT 1 Bulgaria,https://epg.pw/stream/6ef56010d799d471e5c0c280fada9c011b7e730093a678762bf3f6b5814cdef6.ctv
BNT 1 Bulgaria,https://epg.pw/stream/bdb4fec12bb073d938240b5f8c0434cbba9c3dca60baa256d40b42435d7bc79e.ctv
DSTV,https://epg.pw/stream/3ea9cd01bb73e9b079bfc828034145875f6daab3ba53c3d1d4505994625cad53.m3u8
DSTV[geo-blocked],https://epg.pw/stream/540b46726994b00cbf76623e723a9d7db0c835bcb72446376b90a4107de4b59e.m3u8
DSTV[geo-blocked],https://epg.pw/stream/5142c206d435b6c1aaa6a15f17872a9a0d036353783b68fb39d895f214cb748c.m3u8
DSTV[geo-blocked],https://epg.pw/stream/98bbf68b7a17fd3c31a90c27e890a654bf1a419d547825afe06d7e5faaf8751e.m3u8
First Music Channel HD,https://epg.pw/stream/c1ad32e314652d31cc37d8c4be310b858ad4c3949b292189828425cb1021046f.ctv
First Music Channel HD,https://epg.pw/stream/924f7ce28994c35220786ad122bd5fd96c7f294ce4e8c109c431c13f5d79730b.ctv
First Music Channel HD,https://epg.pw/stream/4f60f6c451ad3cd7aa7adbb23f47c6d120f66e294758eee2c30fbf075fb98e66.m3u8
