#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
CMC Party Croatia[geo-blocked],https://epg.pw/stream/4c77067445b38019f01e61b5cc842542efcd22c73c25488559379a79569891a0.ctv
CMC Party Croatia[geo-blocked],https://epg.pw/stream/b252d10e3c2bfcb1b25f29d4b5e8ed82f4887f639558ecb753becab05df761bb.m3u8
CMC Party Croatia[geo-blocked],https://epg.pw/stream/0a2cc038e380dd7b76f79bdd8bc728530a4da7164c209fda33931de533b6b171.m3u8
CMC Party Croatia[geo-blocked],https://epg.pw/stream/30bc63e92cb81a2c08e3df5faa33e3484c2a417027cbd7826b4b8a295cb63022.m3u8
CMC Party Croatia[geo-blocked],https://epg.pw/stream/252406adcdc1e55a8d327025ae3c884ca9aa2a685518d6579773f9e7c4f7b4ef.ctv
Topsound,https://epg.pw/stream/b60e49bd1ffe360fab1bf2c371fe4aa910c5d254c52a9c12461a97a07a375592.ctv
Generic,#genre#
Nova TV Croatia,https://epg.pw/stream/edfb990a6b5cf648266412ae25a50de2bf99de4b5d49fe30a12b7be1135cad58.m3u8
Movie,#genre#
CINESTAR,https://epg.pw/stream/7c272a2cf9096935f00508cbad8350aca62dcc7dc2f0db6225b2607115a51351.ctv
CINESTAR,https://epg.pw/stream/4418fc732be01c4378c0c40028d77320f67f07dabfb819457d7bebfb2a5f254d.ctv
CINESTAR[geo-blocked],https://epg.pw/stream/9a8b2b5ff9553d3d684c576105bb55fd01ec5f6e6f71cb1d870502f89b1c7ade.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/a0be196cc4ac47480289f87deec880cb057eae2d1861e695dc7ba04df80b7639.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/0d7aa19c4894b1ebdd28b07ea8b3596c1a0887c130790a6e9707e11310dfb3d8.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/771ea7a045bd3088265e7f0e04e35c7780ea4375fd6c26e8149e6017e35bd534.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/a63a921b043a04b4f265aa030215883e33bb39dc8b88dd5003e386fae0f947a4.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/9de418eee9c53c0c7976618dd9d2853c748075071de680f26cfb54f82e71a64f.ctv
CINESTAR[geo-blocked],https://epg.pw/stream/32881b174cc629725f3e4dbf2aefaeb83704f3922e12074edaf9c8e1e59f15a9.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/af24b439038e1242cc58176c4f1bbbe4fd89cdc346fb408fdcc1141dc1249072.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/b64a005055abd3bd1a1c6df8108aa807ca16ebed09309c5723f989b91211e375.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/fc20bc775610928b87072b2e4bced8932e7f99ae271cb234d7a7383f58b4394d.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/ea823880e365f94a1a09e55e1bbfd95eef34edbc1ccb63babb76638f6369a0e5.m3u8
CINESTAR[geo-blocked],https://epg.pw/stream/e766e6f968d852a6873ad5d9f0f0276ef29b90199842b9537dde83de8b49d872.m3u8
CINESTAR,https://epg.pw/stream/9a7acab5309c5880d4229e4329351813c64a13066c4ae70d149834053ddfab21.ctv
CINESTAR,https://epg.pw/stream/bbbeea119345dff8cddad3ce6daf0ab803e73d514093c58f35eefda84ce95b58.ctv
CineStar Premier 1 Croatia,https://epg.pw/stream/9153de2b255beaef3f3928d61f05b24ad8121332d3b77b476deaae29dd2cd01e.ctv
CineStar Premier 1 Croatia,https://epg.pw/stream/4503d922a2333bbc37331547e73ff1706f8aaec971e5f97585bed40cded6c682.ctv
CineStar Premier 1 Croatia,https://epg.pw/stream/0a90bcf3910e81b088c95fad6c2aeb9099e6ec1a8cb5113452836d573fe88212.ctv
CineStar Premier 2 Croatia[geo-blocked],https://epg.pw/stream/23e6a9764b637a19db485c498de9a8e09eb5615058e9c325b02ed6b0e54be35e.ctv
CineStar Premier 2 Croatia,https://epg.pw/stream/dae58446522f9f86491779517a9f46cd725aca04f1a5e845d55bfd3536e10c13.ctv
CineStar Premier 2 Croatia,https://epg.pw/stream/5c055ce54afd56ccef20b8674326a4887d683d6fd7516e9486278c03b139c218.ctv
Cinemax 2 Croatia,https://epg.pw/stream/dbabf5856db7f05e3ceb3bc499a89615d100a47d73d07321e5cfa81f20cb2679.ctv
Cinemax 2 Croatia,https://epg.pw/stream/c53fba5918c1baf2d4077964520c9c6e5ec65260cd3fc2b04e0626639f22d4d4.ctv
Cinemax 2 Croatia,https://epg.pw/stream/3e8c5c5d6ba4bad1f28cbba5139322ecb816ab4f3e3a423fe746992293cd9157.ctv
Cinemax 2 Croatia,https://epg.pw/stream/d3729df7964bcbb1021462b135f0e90b7854e2d336d6ce807174716d5b680017.ctv
Cinemax 2 Croatia,https://epg.pw/stream/5d4266fefcfe6741ccd3504300444df946ad65986dcf7d7e69a5abb935de3ee0.ctv
Cinemax 2 Croatia,https://epg.pw/stream/ee82dbc2e167f3208401de245f8d605a767e5767348de74c4af5a4e59465abe6.ctv
Cinemax 2 Croatia,https://epg.pw/stream/a9c82a1a5f6ae20114fb12f0f8d6286b4b47a72a612cbf985d8ff2d016efff07.ctv
Kino TV,https://epg.pw/stream/5aaba0f90dc31a47e6e39da138768adb7aaf3c6b48461c83dc2bacfe8e47d53d.ctv
Kino TV[geo-blocked],https://epg.pw/stream/2c603c2775014b2c363b178c265025e335776172aa2770f58ef1bd7fbc0ea2ca.m3u8
Kino TV,https://epg.pw/stream/d286127ac1eaf7cb1f7fe2e926f3f727d34055ade0dbfa156a0617b83b4666e2.ctv
Kino TV,https://epg.pw/stream/2795d483af83e1f4721c4c7aa90212f76aa92bcfb4c7b646bae7074ce4d6abd8.m3u8
Kino TV[geo-blocked],https://epg.pw/stream/d81b8a76352134b59b09ce9acd2e1d1b554e3e4eefabd9ec86f1db40bb5f4baa.m3u8
Kino TV,https://epg.pw/stream/964e258a549c03d32c2c37bac06f1ee241bf131a5b06b65908a966ef645f093b.ctv
Kino TV[geo-blocked],https://epg.pw/stream/9921fadd4bb09b68ccde666da37aa36c9f86a74c3ded652289b37fc5375084eb.ctv
Kino TV,https://epg.pw/stream/93b25e9ea24215a7ba329b8b12c61f814f28b9b772016fabfd46945525b3260c.ctv
Kino TV[geo-blocked],https://epg.pw/stream/2723671fed02e78b8a9112279c4b9f4f8e8fafde36500be8b13d2a8f78a2d295.m3u8
Kino TV,https://epg.pw/stream/07c4b750fe7086e339923cff75526aff2237dadadb5817a04620d14df985f742.ctv
Kino TV[geo-blocked],https://epg.pw/stream/2e274eda964e868f1801e9a7055c490a746ffd98220f29a7be5be0201deb2948.ctv
Kino TV[geo-blocked],https://epg.pw/stream/3591dfc3acac101a3feb3610e682dfc346947a2c2abcba46231a643e3d173aaa.ctv
Kino TV,https://epg.pw/stream/80a4dd74140430d2688466f762070bb878692caf4549e98633852095217087ae.ctv
Kino TV,https://epg.pw/stream/e51a49ad6142510b8cf01dad0c96bf930a7eaba3d87d377fe282b3461d36fa23.ctv
News,#genre#
HRT 4[geo-blocked],https://epg.pw/stream/8eea4bc2031a858bc4b922ff3d49ba8a551e08ce8e3e472baa18373540f78fcc.m3u8
HRT 4[geo-blocked],https://epg.pw/stream/b36a3796ff40280ace85200b44f4b878c7967516dcf431ecd5fe19fd6e41452e.ctv
HRT 4,https://epg.pw/stream/1cca10174c4e0c62fc5e837c4bf1445da042aec60b94af1e12490ef80a3b1b7c.ctv
HRT 4,https://epg.pw/stream/56e0a19ef259f1fbb9c76f4990e5e53300566bff59c3256b58ab967af1da51fd.ctv
HRT 4,https://epg.pw/stream/1d97143287d3949400f65e2f3905b9f5c9055b82f0e52a62faa1ffa5c6f9f271.ctv
HRT 4,https://epg.pw/stream/38301b77755cebdc1d9950f1def1c21d79d89dd1dab9f5e194de9be07276e9ba.ctv
HRT 4,https://epg.pw/stream/57e0b83e8949d75b907f57e4be2c3162c5ec9c7cd0244aed265aeaf33712af37.ctv
HRT 4,https://epg.pw/stream/c4633b254e804d5d28b4febdbd1c611c04990f607bdf59b981ab442c93ae0279.ctv
HRT 4[geo-blocked],https://epg.pw/stream/1ad50e63fa256131af2901efcda6b8b787863be385c7ca4fab54f4a474301325.m3u8
HRT1,https://epg.pw/stream/6a76b14c1397778676a0a03d94d98ba8b82f9660873d159289cba9c0e67640e4.m3u8
HRT1,https://epg.pw/stream/2d348c65cc1ed1ede3f1c2be3dc26cc9c7fe5eeaffbb80472687c2d86351362c.ctv
HRT1,https://epg.pw/stream/55106ecf3d9b3f1bc0e41a88791097df56d1fe7b531281b5ef1e681e66f6f3b7.m3u8
HRT2,https://epg.pw/stream/a1d579f8d28af7e053ec164b4f3d912c27e843631787a80b5c3d83b8e2408027.ctv
HRT2[geo-blocked],https://epg.pw/stream/8385c1606f9397baad3c6157edd058c6e85bdd7bb4de415bebeca2aa78ac922a.m3u8
HRT2,https://epg.pw/stream/6c770a6335174ae40080f0e4d14ad91dadac24e329d5cf4e0fd507f0752462b3.ctv
HRT2[geo-blocked],https://epg.pw/stream/7c1ae13dec0f8d41dd2f7ea0da7e349ecff21e7ef1fefe0ff74d70e8cba5c9ba.m3u8
HRT2[geo-blocked],https://epg.pw/stream/48750942cfd62c326c52e897635b254c0b42a41bfecbe4a757238cc50ee09534.m3u8
HRT2,https://epg.pw/stream/16e78e2673a15ee282b5a9d6ae8843c954ab8f120cedca96cd823a0457514a80.ctv
HRT2[geo-blocked],https://epg.pw/stream/2a6f712dfe59a008a924149ce11b2db8f26a0fa554d935bf6e2385e6fd44691c.m3u8
HRT2[geo-blocked],https://epg.pw/stream/c7d2a0c4e97536e4d039424fe0ad3284dffd08b55ca0129254efd2409e70a7b3.m3u8
HRT3,https://epg.pw/stream/0927b958c2a31783f12d316a8d84f5982c0237776e5078ede4e5fb17c197be1c.ctv
HRT3[geo-blocked],https://epg.pw/stream/7a45803f195580f816ea024b422400d5f3c03e6d84aa05bc6485358a8840df30.m3u8
HRT3,https://epg.pw/stream/10d7b94dbf6db0265bb1a6f04327d9e928994ee992fdd5fb72bcc5f1398dca96.ctv
HRT3,https://epg.pw/stream/0346d5a813b60d612995f94d3a0b8262ffc88d2351b884cb4762e3593c21313b.ctv
HRT3[geo-blocked],https://epg.pw/stream/2ee5836ebefd21f933f4632943d7a973df7747c9d788332eb532f75e8cf30a00.m3u8
N1 TV[geo-blocked],https://epg.pw/stream/fd5aaceef5e05cdfa6234c3b32bd61d26c23471f1c7e245c983e816caadd289f.m3u8
N1 TV,https://epg.pw/stream/2e5b57ab7ff00c4422051ec1208e16af1538e503dd34e4d04c6dbb858bb1cd05.m3u8
Sport,#genre#
Arena Sport[geo-blocked],https://epg.pw/stream/4f484ac6316aee41110df51288859c60f651d6d67b4e8a03f7cf36e490383930.ctv
Arena Sport,https://epg.pw/stream/10c672a20f4854066d44b2a7203f710627c3742ea448c5e1842583887f40da4c.ctv
Arena Sport[geo-blocked],https://epg.pw/stream/253100f49fc6313b009501f8475c3cee2e427adeb813b25369b18e91bc10046c.ctv
Arena Sport[geo-blocked],https://epg.pw/stream/c72724aa19bb51c1a1e17a8c27078b253aac91f165529bfb79886a186884a84c.ctv
Arena Sport[geo-blocked],https://epg.pw/stream/da06c667127d6bd6f77addc5af023fc999e7438e2af49fbca23e00f9f2c332b2.m3u8
Arena Sport[geo-blocked],https://epg.pw/stream/a28ebc4caabaae9bd311279b25cdc3f9a4ee193d7922262bee66c07972751ffe.ctv
Arena Sport,https://epg.pw/stream/8b779d4e769212ceaec65641efd697ac05982f5200a0fec37a8f80c5dee6ee4d.ctv
Arena Sport,https://epg.pw/stream/c6b85aba8c52cf711892316f47213b2512028661a58e686562c6a71026175441.m3u8
Arena Sport[geo-blocked],https://epg.pw/stream/5d30a7c264869fbcf22932ef58cead856d16a7492d66a41227305a31c13bd827.m3u8
Arena Sport,https://epg.pw/stream/8895463ea84482b696fb240a7d50e489f8227dcfee346f5944306ec7af1a9e21.ctv
Arena Sport,https://epg.pw/stream/b50c1d683e5e56efe22a862ee4b91cdd143066c90115b5bb8029387c729a4f77.ctv
Arena Sport[geo-blocked],https://epg.pw/stream/4139df0b0ad3357f631627d595baf3683d559fb6e068e2953cd37253d22f1bd5.ctv
Arena Sport[geo-blocked],https://epg.pw/stream/60e60c8a383cd8eda8fea4694bd6106bf082b8a3ce3d621ceb43c0d80fe26ff6.ctv
Arena Sport,https://epg.pw/stream/1e4537ae78d90cc82a544814d06f74527044c9c2091bcab640bf202497cdaea2.ctv
Arena Sport[geo-blocked],https://epg.pw/stream/7b871dda0d220cdebf538b71dad9b6e0c95ed1c0807566efcb400964c85dbba5.ctv
Arena Sport,https://epg.pw/stream/ce5083971e598b1f6bfa4a1a84c7de1b3ea92845de4de6026adea6f44e2838ff.ctv
Arena Sport,https://epg.pw/stream/8ea8181f1b3497b66942b47974f70b1b6a726f785dfa4ca1974ddc90e6d002d7.m3u8
Arena Sport,https://epg.pw/stream/9e397ca39430e928bfd1b355206888cd1e0aed53ce4b89ab5d1ee4696733f06b.m3u8
Arena Sport,https://epg.pw/stream/08bb8639a767e672b16f51a80b3e348a3fa60594d39282e50cb5f6debad6625f.ctv
Arena Sport[geo-blocked],https://epg.pw/stream/dad4b2bb2f59add409b8446e6397397da366b5775727c326c6146fd41ece8938.ctv
Arena Sport,https://epg.pw/stream/750567f4559d37bf72fdb33dd1f7495a8024bc153e115c4f1dc085328c6c8192.ctv
Arena Sport,https://epg.pw/stream/260909eaa727f9253132fa56562bb43d49e4a23969fde19be7477a78500a233c.ctv
Arena Sport,https://epg.pw/stream/5211e5ff298946f35f7f06e546fe11027afe275683002b1d514fa79831b8700f.ctv
Arena Sport[geo-blocked],https://epg.pw/stream/05c9eca231d406dcfd8963d329603099a0903b36837de95fd755eed4b6a433cb.m3u8
Arena Sport,https://epg.pw/stream/d6f4b27723f21bd0309b2b067f8c16e7fe7439ac7934c4ea912c9c0b2c547144.ctv
Arena Sport,https://epg.pw/stream/bf0335630545208d7d7de72baa20a87615d682523f7da0ab2c44d44efec0fefe.ctv
Arena Sport,https://epg.pw/stream/e72005c3a55d06b4f5a58845df797c1cf38dc89656917aa015cc4a4c48126a5f.ctv
Arena Sport,https://epg.pw/stream/bf383243d4c36f3e5030d07c283e7e19f7ab7cbae5ce45456144f07b80cd034d.m3u8
Arena Sport,https://epg.pw/stream/72a8c939645ad0acaaa18a67d901ffb39ea85e1954ae1679eb3dd87e76d7184f.m3u8
Arena Sport,https://epg.pw/stream/d12950d51eec3090d6bf952211b036744e0ead2790b9e5feb363f3420ba5ee78.ctv
Arena Sport,https://epg.pw/stream/c27cfed31da871db0b5576e16b20c7f608f5253e91e93d6bd55b04f1a574a22a.ctv
Arena Sport,https://epg.pw/stream/9f32122fc9de642614d40fef66e4f5bf720c07c402207bca7587a816a7a12e47.ctv
Arena Sport,https://epg.pw/stream/a93372f52953ede5dc3cd7459e531f4a6f65dc4a2de97ec09cb0b8e3c64dfc5b.ctv
Arena Sport,https://epg.pw/stream/c3d17a9d0a5bc0382543a84a3f928b29f189695f348e3de66566b21a25ff7e58.ctv
