#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
Doma TV,https://epg.pw/stream/a1e7e7b274ca6e7fa5cc8af86a6c48749c39e1358f9a45847ed6f2c29ddaecb9.ctv
Doma TV,https://epg.pw/stream/573825513613d16fffb7d5c94dd89f8bb2059c055b65a934e7405804c7e113c3.ctv
OCKO TV,https://epg.pw/stream/93079766bfb5160e59fa61e6859b599247d177bf6c7af20815651677c8ac512b.m3u8
OCKO TV,https://epg.pw/stream/c01e42216a3a548eb8c16434c9c294679ac4f373a829e93eff2ee226f3d1e110.m3u8
Generic,#genre#
Barrandov TV Czech Republic,https://epg.pw/stream/4166dc1c10baf12d720418486f4dbaf3cede7bbc17763bedfef3d0b52ea15f73.m3u8
Relax TV Czech Republic,https://epg.pw/stream/d448d015ef3b8009f5cfa010c40fce75bea4f8e6738f3e6805054f1aca5349ee.m3u8
Relax TV Czech Republic[geo-blocked],https://epg.pw/stream/fb58b894641055995bc70c9c37ff5c415d538ae56c23634795c2578fc8300bb4.m3u8
Rozhlas A Televízia Slovenska,https://epg.pw/stream/acbd0a0bc09cdad154e0f294b9d953af05ce3fecad5a519821814c2e59084498.m3u8
TV Nove Zamky,https://epg.pw/stream/7eea48fb0807472bfc760de9520177ab07d80ed85d7a1c9621a49a322b9fc499.m3u8
TV Nove Zamky[geo-blocked],https://epg.pw/stream/40a391e6e91f6000981c279836228b9da57cfdae6782aec318e5a49d10778e75.ctv
TVR Ruzinov,https://epg.pw/stream/d8fb3dd07b0728d861d182d5a10e265633e040763c0702d03574ba8bf370c7de.ctv
TVR Ruzinov,https://epg.pw/stream/5ba60b5f8e05d6b9f0dff7d95fdd544951668b5cbb9e1296417b40e2263999ba.m3u8
TVR Ruzinov,https://epg.pw/stream/5bf587d172cc6f19e7a4c03f13d53b75a51383274f3c14402a7ea40023e04990.m3u8
Televízia Pezinok[geo-blocked],https://epg.pw/stream/201e1afacdb6535339d1052bf589a1b839555c77747b3c7f3f9f3ddc9a6ecad7.m3u8
Televízia Region,https://epg.pw/stream/d0b168ec0650288a131bfd63f023debc284913b48d033a44d2f46a0b5cb68cae.m3u8
Televízia Senica[geo-blocked],https://epg.pw/stream/e1c0e8a5616c0cb174eab7e58c9ee1dfda6fb5b0b9a4afbc8f2f1fcea0e7f599.m3u8
Televízia TA3,https://epg.pw/stream/00b6f922d21771d52ea634723c4810c188a4e1dd9ed666a649ce358d43000315.m3u8
ČT:D Czech Republic[geo-blocked],https://epg.pw/stream/c29e777b34e16e8abff642df50e6051d3c9603f3a7fd8d1315559274a1f244d9.ctv
Šlágr TV Czech Republic[geo-blocked],https://epg.pw/stream/af689580040760ad749a277e9e489848bfed57cb94839390e65102230d28cba0.ctv
Šlágr TV Czech Republic[geo-blocked],https://epg.pw/stream/e76d2d17032619106e4c2ec022c1191f78f96a0e5d5a834c7bf4806c38b5a843.ctv
Šlágr TV Czech Republic[geo-blocked],https://epg.pw/stream/947cfb82b4507cad6cb490eb8eadd722f63ac7544598940c0907abaef88f77e8.ctv
Sport,#genre#
Televize SPORT 5[geo-blocked],https://epg.pw/stream/8f5f5e28d252fccf603f587bcfabf45b001ca4bf911d64fd2295bc6787a294c1.m3u8
