#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Chr Koogi TV,https://epg.pw/stream/9c3c4e1861aa871a7be1b44d5f3d1e9c1c0c2f3b6b596c0406fa939fc324feee.m3u8
Chr Koogi TV,https://epg.pw/stream/685e80a42036c4f9b112440690a6bb5e3d1ab0eada06312bc3af25f76e5ba2e0.ctv
Chr Koogi TV,https://epg.pw/stream/85afc3da6afbf570aa71996018f6445e5e471435cc35f70c6f0f5ac44c44c7cd.ctv
Chr Koogi TV,https://epg.pw/stream/edfe682e57afb322e6d2af15b87dd28c3e96e42b1077b6064b3be925217c7467.ctv
Mody Kids,https://epg.pw/stream/244ff3d60527dc78eb92f359d791ecdb0b50b7cf0285ea3a63f2525b3f6ecf10.m3u8
Mody Kids,https://epg.pw/stream/e37ab04aabd786799593915ffb55ed9a1cedb4af6fdcfce86a3a72e3d0fb45d8.m3u8
baby[geo-blocked],https://epg.pw/stream/08e99f37cbf66f7d484d298dff852d60b6270b7499afdbdb320badcf0471f71c.m3u8
baby[geo-blocked],https://epg.pw/stream/afe36534a1e7457dd00e7ac10442dcc3288e9a8a8cc9f73f3e94c68d744d276b.m3u8
baby[geo-blocked],https://epg.pw/stream/7022b7da8762c1125f5213ba18a418793a8730480ba98354ec1ccf082927c2e5.m3u8
baby,https://epg.pw/stream/1b9a767bca0c71602dd349b00e9a32fdcc876845c2c4081d53184604fc329bb1.ctv
baby[geo-blocked],https://epg.pw/stream/177b96d05631373f0b7c5457bebc75290bb143a8c90678d4463e066875e75d4b.ctv
baby[geo-blocked],https://epg.pw/stream/cb172a24490611d2704379250c1e34fa8797c7d7bd45b7c64edb5679cc6b7830.m3u8
Documentary,#genre#
Nile Culture,https://epg.pw/stream/839cafe721f36797be3159fa1cdf30e3d49b0fb12731508b17527fb3192de0ff.ctv
Nile Culture,https://epg.pw/stream/c462c1d14231d475826895a3e16e78d4d149e3a240b634c74516bc6e2188ad40.ctv
Nile Culture,https://epg.pw/stream/fc5418c1e7943e97b4683b9265e78c3da8f884061011d60312cdaee9b7141801.ctv
Nile Culture,https://epg.pw/stream/6bc55225619c319733fc5d2ead4d250b2ed53b64bb58036fa4013dda3e20cb07.ctv
Entertainment,#genre#
Aeon Alwatan TV,https://epg.pw/stream/aadc385f8edfb18e1a14366022a251442d9f2a5a8404e56cdadd8e9281cca365.m3u8
Alhayah 2,https://epg.pw/stream/d21e6302ce8d155edeef39048d3512f581478c8b95b4d4b6374e69eaffe0f209.ctv
Alhayah 2,https://epg.pw/stream/8838e40e3219af89eb1e44e6eb0a278828a3e9fe26e19dd8a9c068dc452e939c.ctv
Alhayah 2,https://epg.pw/stream/cd0e3cf201efa1b82e202b2b8ff66f998011662e528c506239b457654e675c78.ctv
Alhayah 2,https://epg.pw/stream/7b02dce077bf80b306a929abb29628152ddd323d91b4a29d56d1eb3d75e54498.ctv
Alhayah 2,https://epg.pw/stream/063f9161fb51eb61ba5c5e74d8a93bd2b49e308c6483e6eecda5d755ead504f1.ctv
DMC Drama[geo-blocked],https://epg.pw/stream/33a9b00b136b8a4f03ec18c14b2367836089668db19baf162f36806999b34741.ctv
DMC Drama[geo-blocked],https://epg.pw/stream/44b92e4459a898458449ad9b05deb23e3badab4abf81fa9ad2364dac45eb74c6.ctv
DMC Drama,https://epg.pw/stream/5b51a1195bbb1a716c2a2f44a4114359130dcff189363518fd350744b859ac35.ctv
DMC Drama,https://epg.pw/stream/ae77d53cb1143046a4b5131f58a9fe1be15b745ab22dc9db2ad051284d10feb0.ctv
DMC Drama,https://epg.pw/stream/eb6b03be96c3fa285cfbc575ce41c8336ae410069d2ec452f602bb76607184ed.ctv
DMC HD,https://epg.pw/stream/4cacd251a808d7170504d7ed95dfbf916daa00167ec4df431cab2ffc03d6be5d.ctv
DMC HD,https://epg.pw/stream/13a6204e8ffcae198834cdcbc6b0c20de40a817316957424a9b6a700ae7a79a8.ctv
