#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
TV8[geo-blocked],https://epg.pw/stream/4319a58e5d4a6364e90479ef50e2be2ec7debd6968e3240fcc7f9323a7c6f670.m3u8
TV8[geo-blocked],https://epg.pw/stream/d168c4ab5f09e54f2a0a01c0a99a51dccca1c5af7f97ca8a24a79768f4300bef.ctv
TV8,https://epg.pw/stream/dabc574f9f41a71fcb5fa57d23f6623f9ca74b27af7a124dd27071bcdd3ab8f2.m3u8
TV8,https://epg.pw/stream/148d896045f27dc98e871a6edf0ebd8ad7e2cb7613336d21cb19186d7e7e3269.ctv
TV8[geo-blocked],https://epg.pw/stream/41510b2d82485ce8dcba7fe17c36b0250cb5f4e27c1c3a060ff8c344bcc02b3b.ctv
TV8[geo-blocked],https://epg.pw/stream/90af0149c3424d34323d56dc10d2a76f55a0cc49e79f4742d2f714b33c0245d9.ctv
TV8,https://epg.pw/stream/c11b9594e1c8283ae993df80e2bcc2e249ebf85d38f10930098a00037742a16c.m3u8
TV8[geo-blocked],https://epg.pw/stream/0d1a8f6c79a33b5b9aa650450222a9f79cbb81b03650d62a36823230ddc33fc7.ctv
TV8,https://epg.pw/stream/7ec9623136c8ee82b8b465fffee5eeb46c348a019456e839ed7e02db1a08664f.m3u8
TV8,https://epg.pw/stream/2a0a99691d608c56f2c83b9e51b6159e776face3607afe78f91ac06d6b7f7ec2.m3u8
Generic,#genre#
Formula TV[geo-blocked],https://epg.pw/stream/ce0abf5fc9ddc22ca407eeed3022eeac0a9f48937cd5b513309752a8e1d2672e.ctv
Formula TV[geo-blocked],https://epg.pw/stream/42e8b0db0117eaa8a69111a9f3c707620be0ae9e5496df53814ca68fa4e5ce2b.ctv
Formula TV[geo-blocked],https://epg.pw/stream/9d6058f5d3ed3f5fcb57a9b51c7088cf1d4eab0a7b39aab41feb9662df6000ed.ctv
Formula TV[geo-blocked],https://epg.pw/stream/2732d22f27cacf4b8d2e6d39ebb2a46f4b3652ee022191805909619d5b32f824.m3u8
Formula TV,https://epg.pw/stream/3d78ed645fd03235e1b5862768f59fc7a292090360540c417708e1262fa1900b.m3u8
Formula TV,https://epg.pw/stream/35637036163b51e2a456670faa9b2b8bd07caf86d2b8a20ea22332fa2730dc07.ctv
Formula TV,https://epg.pw/stream/83dd03e928b1a3eb7aba51b6ed5d18026e2ef98e0ed07414bba04423d750f1be.m3u8
Formula TV[geo-blocked],https://epg.pw/stream/ad2191183065945c4d7e966e53784d36afecea3f439a821d3a90e53686711fbe.m3u8
Formula TV,https://epg.pw/stream/82c489242ef70bf8dd63667e6497c4090aa134e122005a592734012792a1308a.m3u8
Formula TV[geo-blocked],https://epg.pw/stream/7dcafa52229ea41e1d9d6bfec3fd6c64191673820568c4c3614563da1c62feea.m3u8
News,#genre#
Imedi[geo-blocked],https://epg.pw/stream/1b4093f28eb83a761f5289d78fe0ae4401df17fec0f07b5f3f971a8f4a062f93.m3u8
Imedi,https://epg.pw/stream/9dbc38736f6f0ef362c7092836cf17866fc7c16e851f68517baf50ae16ffe4e8.m3u8
Mtavari[geo-blocked],https://epg.pw/stream/fd07cb820610fb327900c74ec4dde523d61001cb779454739a7f3d938f11054c.ctv
Mtavari[geo-blocked],https://epg.pw/stream/e30a7645ed58ae7fc023ff1191841c698965974f75ddb14d939e17b888ac20cc.m3u8
Rustavi2[geo-blocked],https://epg.pw/stream/1bb046e7d9d52a0f91dc799c1240b6d2c60f12742966724c8083f75631c53def.m3u8
TV Piveli[geo-blocked],https://epg.pw/stream/b39127c5757774df555497949ee9cc5afbb3e0f729d288312c267880ff18153f.m3u8
Sport,#genre#
SILK UNIVERSAL,https://epg.pw/stream/0eb9fb5341c455de23b051ff3184b82be552c4da98781f4419951b15e1cc971f.m3u8
Silk TV,https://epg.pw/stream/27fc44c3213cfa570e80d84a73bf494d18282f9363a5845acd3a2dedc6e8cabc.m3u8
Silk TV,https://epg.pw/stream/5517bc1bd5c4324577934dff9be51c269d3715470df820948bef53312bf32711.ctv
