#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Greek kid's,https://epg.pw/stream/5adfd70b184e7abab51e38344ab3d50b679006533cd58e88b00d3fbdc353c011.m3u8
Entertainment,#genre#
Zougla TV Greece,https://epg.pw/stream/d1c67ae18df950184baa453d5bc92a9c17c1231e2bf337eda2f8dc7f4dd7e9c9.m3u8
Generic,#genre#
4E Hellas[geo-blocked],https://epg.pw/stream/184035b080cd4397de8da23fa5401a890e5b873f84c05d37fd7d10a3b8087d52.m3u8
4E Hellas,https://epg.pw/stream/d07d7f9cc84aa5d18b84961593d96e4ac441c715debadb17457c4718dbebf122.m3u8
ANT1,https://epg.pw/stream/557fec17a22627d851880af98d871f39d0c63b60ed1417f24e0b8d8b3475226b.m3u8
ANT1,https://epg.pw/stream/73f7c019e332ade9d789b86c733d87c8790090028208716095604c35ed96739b.m3u8
ANT1[geo-blocked],https://epg.pw/stream/1b92e97566587945fba30093a2074e157c4a79866dd443e2e05a81b188915cf2.m3u8
ANT1[geo-blocked],https://epg.pw/stream/de8502de99476b4206f1598ab996a491884b1e075310ee4199d1b639185feea1.m3u8
Alpha Channel Greece[geo-blocked],https://epg.pw/stream/fa842c7adc55d25e46b2f523b03c1740f4f47e3febb428dec33d0304b2e0f908.m3u8
Alpha Channel Greece[geo-blocked],https://epg.pw/stream/8956ed9da46ef255014023a40eae5a268328fc731cbaa6ceeb322df81ba5b81f.m3u8
Antena 1 Greece,https://epg.pw/stream/9271e8e0427dce7aba8a263c0e6eb8b50bfa268dd2a0eba281f09585e39738c3.ctv
Blue Sky TV Greece[geo-blocked],https://epg.pw/stream/8a0d93f3eb8e8623dad0a3c37c41368c73fae145af990f0e2b8c27060e9d3534.ctv
Blue Sky TV Greece[geo-blocked],https://epg.pw/stream/d6133c5da151bad9d2bc6bb43b9229a9c65571fbc381737d2c302da5057b65ea.m3u8
Blue Sky TV Greece,https://epg.pw/stream/66c623bd3d9195616e3f32c156d672537513a875938fcdd1d9aa95e51aa38a28.m3u8
ERT1 Greece,https://epg.pw/stream/a49b1f6b91aef4585733dea19c9c2fdd80606dd5c9ffc7bca915d1a3c98d135e.m3u8
ERT3 Greece,https://epg.pw/stream/3605569af82fcaef68e1c9ee099fa928bbeac69d450120af14b77f8baa87e044.m3u8
