#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Aniplus ID,https://epg.pw/stream/64db582f46232d7f8e5dc1ad43ab17ae36afebba78ac7b967e49bc7fde88c4bf.m3u8
My kids(Indonesia)[geo-blocked],https://epg.pw/stream/1d22f32d8d4ad032956dd5480064c2a01fbc91f05ab2621062abc2b6ff68de04.m3u8
My kids(Indonesia)[geo-blocked],https://epg.pw/stream/9710e92e8a95023e4d3267f38e3622171a24ef88f5fb7de0fa89990c516a2134.m3u8
My kids(Indonesia)[geo-blocked],https://epg.pw/stream/0bfca4c99f0345043455cee9ec4a0618bdf37d43b47b81de2ffdca865e2763fc.m3u8
Spacetoon ID[geo-blocked],https://epg.pw/stream/9db160690cfc40a3aa8e96c199a248f83e497286436fcc5a9af16818c14d1116.m3u8
Spacetoon ID[geo-blocked],https://epg.pw/stream/95d7030950dcd596c0b5dbc45b6772cc84349746b38b27f089960607ef7e628b.m3u8
Spacetoon ID,https://epg.pw/stream/47df4caae8f38f72b6765aacc0faed2008f0c974c772abc1f60f6d2250f71ed7.m3u8
Spacetoon ID,https://epg.pw/stream/44331e40d9c3857b5c76ebb67e799527d928f16670f5c91862db8f3c3ca14233.m3u8
Entertainment,#genre#
MIVO TV,https://epg.pw/stream/8b8ec3160d54c1b90dd64b5b2291299fe4eadaef2d53f6a19593ea6e55caabd9.m3u8
MIVO TV[geo-blocked],https://epg.pw/stream/de8cb558b563523c3d6184a8ea6ca82a417db356725ad3a220f195660189df21.m3u8
MNC Infotainment Indonesia[geo-blocked],https://epg.pw/stream/21074380f6cb02d0baaa684e92c908ba5f13847fd9fe12af5e46077b5ce8716e.ctv
MNC Infotainment Indonesia[geo-blocked],https://epg.pw/stream/f1024288e3070bbd109d231828f1f43317567f79c6beb95f3b003b02e7445347.ctv
NET.[geo-blocked],https://epg.pw/stream/50f983578d34e33b7a231afcedb50b458060af98c0beeab9ab08f762b8772e04.ctv
NET.[geo-blocked],https://epg.pw/stream/79237cab1e532fc9d9c1b940ce1f2dadf333146d2613e8e6d8059389d680a3f5.m3u8
NET.[geo-blocked],https://epg.pw/stream/ee0c2a31c88343e9937b2b14bdb7e095ec9076cf8b00587c668018e4f888e0c6.m3u8
NET.[geo-blocked],https://epg.pw/stream/4f8b170f3ccf2c1558f466ec2494b21fe33d26c2e705cbda638b8ca8b5b03692.ctv
NET.,https://epg.pw/stream/98e3b54c9b7a78dd82dbde1a57814b419c9b9679359f0947608d0217fd0f266d.ctv
NET.[geo-blocked],https://epg.pw/stream/f1524ac7b5f43919a196a44ecbce4cbf35ebda8eeca03e252abf32b866492b1d.m3u8
