#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Generic,#genre#
TG4 Ireland[geo-blocked],https://epg.pw/stream/92c62c5966e99441f5bda3dad12d988d8e1a249bfa3c0b2285b9be6d3273cf8b.m3u8
TG4 Ireland[geo-blocked],https://epg.pw/stream/a8bce7fb71ac9a5f1ac2050fe34d25ce4e565fbbb77c9867f37047aea76580e2.m3u8
Sport,#genre#
SETANTA SPORTS+[geo-blocked],https://epg.pw/stream/5fd7e33f3eb0a29626a5e7e43f1c9c7116b3ff15c5d948d08cf3d8c77929e7c4.m3u8
SETANTA SPORTS+,https://epg.pw/stream/a736c0a0e4cb9aac516dcc1fc1b64ba75e59d44af905e156ccd4de690ee05c1b.ctv
SETANTA SPORTS+[geo-blocked],https://epg.pw/stream/d0645408711adb75d798be835358b9663414e931e8521d7cf37f426082220574.m3u8
SETANTA SPORTS+[geo-blocked],https://epg.pw/stream/fa0339c98f2375ba8d3e125098de4bea104d69b303e41a0a0bbf56bc947d357a.ctv
Setanta[geo-blocked],https://epg.pw/stream/b5f6a11825d025f89797276d1d03304cb794c1161cbc9af6a6a2fb7ca364de14.m3u8
Setanta,https://epg.pw/stream/8b804ef18de9a29802695adcd006df488570cdec913cabe21605fee24cb3de43.m3u8
Setanta[geo-blocked],https://epg.pw/stream/6ec371669ab2733db8a89155e385e376b1776bc213457a781b233c5b5b9a6469.ctv
