#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
ZOOM,https://epg.pw/stream/04684b007a27696de063d21b414824c9fa77a0c9f5c6d64110531848cc760585.ctv
ZOOM[geo-blocked],https://epg.pw/stream/2efa135958e2877c7479376fa509780279e668bac9d64a0c7c9ae8ba03c9afed.m3u8
ZOOM,https://epg.pw/stream/5bef862d6724eb273b19c3e6cc79916d99895461eba680fe876d800afcaf5f76.m3u8
ZOOM,https://epg.pw/stream/84f085dffad34978420a1272e83c616a86d5244e95528478aa05cb0a160039b8.ctv
ZOOM,https://epg.pw/stream/4b90a96cdc0ddf670fe88ab6c6e9d0fe08b039fa1dab46a53ea84481d1294ccc.m3u8
ZOOM,https://epg.pw/stream/21b50aca5fd8cae703db619da654b9d4962846c9382dbbeffb430c89904b4e03.m3u8
ZOOM,https://epg.pw/stream/036803e2c7156e656dcdf5239f035ae903ad89b94aa9a20f8481b132e347ca5d.m3u8
ZOOM[geo-blocked],https://epg.pw/stream/a5ca678b7c9a404c40f9e2ec25d3fa0e5400eaf3216a7c780a7504b9aa967335.m3u8
ZOOM[geo-blocked],https://epg.pw/stream/f599bd7ce4e4ee5f52849b313ed9711a911881ea378cfc03cb4b770ec23682ff.m3u8
ZOOM[geo-blocked],https://epg.pw/stream/e395ce339308846a1ed7606fd7e1676f27018499c2dc1d98b9253a958205ae16.m3u8
ZOOM[geo-blocked],https://epg.pw/stream/d9dd4ed6741cb6098e53b1d859a44f2445a9dee7e44ded261397f4286de59e9c.m3u8
ZOOM[geo-blocked],https://epg.pw/stream/8791a6107890374dffb1fbcfd17ce45dc007c2bacc0e436e5bf18694cfbc616f.ctv
ZOOM[geo-blocked],https://epg.pw/stream/705a24e85ada992d9ef06292adc6a74b665bd7948edf1bb983c15b7b5c5d4277.ctv
ZOOM,https://epg.pw/stream/5005275aaeba4bef4d60d2cd32f6a5b67faa05d6ee6e9c8c612e0e8a8dc0fe09.ctv
ZOOM,https://epg.pw/stream/dc97cb52dd401e6edfd828258c5167cc88672203429a8c854f580f87934246fe.m3u8
ZOOM[geo-blocked],https://epg.pw/stream/d9bc5ec05f26b8411c4b7045a7d6eb6620609d450204479e8a633cadbc5640eb.m3u8
ZOOM,https://epg.pw/stream/cc097625675caddc2faf81de42a34d0f49cb98fc72810b17d735dd5cc6ebfa61.ctv
ZOOM,https://epg.pw/stream/a82ca69f430b474138bbcccd5a4ac9c08bd9f42e70f732f0c6d7da7ec27d7f0c.m3u8
Documentary,#genre#
Bluntvision[geo-blocked],https://epg.pw/stream/2371d5811943cb2a9f3034f4907e385e842a9827f87f2328d33111facec04f94.m3u8
Bluntvision,https://epg.pw/stream/f75a6e55306386c59c33520b390cb16d161190f1ae88b91b41156afc9904779e.m3u8
Bluntvision[geo-blocked],https://epg.pw/stream/e48f50e431a7b2e243e90ccd06474190178c3d33a4feffc02d69714938d3975d.m3u8
Bluntvision[geo-blocked],https://epg.pw/stream/8e132d64b30017f6e9dc5fcbe6fb278756de204cb6a6255c2419ea68c621d3b1.m3u8
Entertainment,#genre#
Channel 13 israel[geo-blocked],https://epg.pw/stream/e24e0daa9acd6fc9e853fc1c817ec822065632bde379b2eed7842e9e1e1357c5.m3u8
Channel 13 israel[geo-blocked],https://epg.pw/stream/08d9008b89d80eb146cdf8a893d1296cbd2e9d06af311b759d8870d013392a30.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/63f16b7764b0a34831a249994db447df9bc66162806210bfbd884b5882124ef3.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/702fbfc0beacfaf56d7bcd5cd9b87a5502431ed92b20b875a134a7f5cbdcd56a.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/3e0ff11b0e2962bb5a229c27c2174ccfa903fd68a3fa9505370b4a36733ee8aa.m3u8
Clubbing TV,https://epg.pw/stream/11eaf32fc8371518339365a3c2d3ec17154e01781dbcf68d5b6aacfe001a9364.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/78e0a06e2077729df6ad041ded88677282f27f38c5b1ee4fb9f503a05920d13a.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/d3fc0cd79f5bd0f3de788cf6a310c1c85af377711cecce3e5fe921c044a83619.m3u8
Clubbing TV,https://epg.pw/stream/081e9d0ae408ef3f82d5fbfaf612fbb5fec28f70b834d830306c407a15aaf447.ctv
Clubbing TV,https://epg.pw/stream/10d8a909ac1ad97663d2aefc3789adf3b59f0c9ec5e6f31ae9f63e761db976e6.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/9956d2c3f4f5b9402172b63feae8224ac37d26075c86817cb33123d8ccff66f1.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/fc4887e64ee268aeb33fa6d3f52ad1952eecec97f1bebb6643c738129e3bf786.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/89a63d2e55e46772f3688925e62bd107e7489dd4e079316900bc92d38d7ced78.ctv
Clubbing TV[geo-blocked],https://epg.pw/stream/5176c6cda4f2984302ab6170e3260edb7e91af69c2da7263929ae767ce9df566.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/12e270ca329e0d4cc56b20c3607190282748624adb915ad907e4fba6207be185.m3u8
Clubbing TV,https://epg.pw/stream/e6b943add2f563d6545a7538cf3d42ab18105cf4fe5855d1ed8b52bf163d7480.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/f927c5787a926a4f27e7e500bf4a15de56710d5a1dd911babfecc510df80bbf9.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/7af908b52fc372744966ae959112084ec288d6935730d585a35c320c6765b526.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/a4ed3f576447658893ddd4e95583954153a75d275ce37c1eb4c9219f52cfd819.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/1c8b6fd2edd0aee1fe78e531e58bfa13f4bd7bdf263195bf68e7dd89a7937df2.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/1ade7dd80c4ed2b4103e4d2af83aa858d338bc6a406c8dc25f17f09ac1c7e3b0.m3u8
Clubbing TV[geo-blocked],https://epg.pw/stream/3ef9c9242929033a34df00b4c7992c84adffbc94daf97744fe9becff487394b7.m3u8
ערוץ 9[geo-blocked],https://epg.pw/stream/17c27c6d8357c445e5605d9f32614baddac1356a9fc937397035caae169e192c.m3u8
ערוץ 9[geo-blocked],https://epg.pw/stream/1408d5b4654f4867ba710e14b1b4b1472447abce39fdf6bae4b41aa4cc2a73c9.m3u8
ערוץ 9[geo-blocked],https://epg.pw/stream/2083b11fa39288d6687c26e25286d7358a5f9903c0ba533534ee78597c31355c.m3u8
ערוץ 9,https://epg.pw/stream/865aabe5309fa779ceb5cfa0288b15d5513ab292ec2769ef38c262bcbb3b0711.m3u8
Generic,#genre#
Channel 10 Israel,https://epg.pw/stream/fb4f8acc4d9e3e5e65c6eee9305dbe1ce08b01d284a7f9451b45402deb4e723a.m3u8
