#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
ANIMAX MUSIX,https://epg.pw/stream/8fe6150a076b37100389b3efddc4337e79d66ebf969e97376e060bd80d4869e0.m3u8
AbemaTV,https://epg.pw/stream/f34a3870644ed9ed06c78684012fce1d9973a599eaba09a418a1a31f0c43d7d5.m3u8
AbemaTV[geo-blocked],https://epg.pw/stream/7b78c23f1f7f217e514208fcc4dfc69bfbc437c5150cd5882c70bdd12dc4964a.ctv
AbemaTV[geo-blocked],https://epg.pw/stream/ffc9c292561c4d08b5d5eddfdc1c9f49f676a30cd1ea5ec9f991d365b2398587.ctv
AbemaTV[geo-blocked],https://epg.pw/stream/1d6879c5d1853cad851b9018cbb7f9e4453877cdb689385b707f1909099fb926.ctv
Animax,https://epg.pw/stream/e89f7d65e4c6065d23526affc498e07ae110ffc2abe796cc4d7da1452ad61eb7.ctv
Animax,https://epg.pw/stream/850f375d98ea74d73a20ebd0734bec33d574b9cb5ed1df53b6c7adde1b57a51d.ctv
Animax,https://epg.pw/stream/522c7db9f5cd70be29b9ca95ffb54c59e22566166818dca85aea123f86b00c51.ctv
Animax,https://epg.pw/stream/eb01aafde23618c4e961240aa9d86d8769e6c6340c42133c387321ab3f2aa553.ctv
Animax[geo-blocked],https://epg.pw/stream/f64de1e6350b41d694405c6d1839f66582d0aadad7e01885f654f6e937877bed.ctv
Animax,https://epg.pw/stream/1b26c74c694683e388b4253cc99a3c03dd1fbe26783cf10dd7d230d173e27523.ctv
Animax[geo-blocked],https://epg.pw/stream/150c93d418c9e50479cc6771d943d7c3587df2b37157d201dedc38f0d4e0007a.m3u8
Animax[geo-blocked],https://epg.pw/stream/bbe4c9819396a7433bae23cd04dc9abab09d8d42dad6dee7cad4f4a179fcc072.m3u8
Animax[geo-blocked],https://epg.pw/stream/2befbcfc8715ed6aac092fcafe6fd37cabeb10391b2ba8cc4b4616f24f78974d.ctv
Animax,https://epg.pw/stream/f1fa0ae48495f3efb3df4f1dd172b93306c3db589c6f1a10244e06f3cdf12797.m3u8
