#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
NART TV,https://epg.pw/stream/5aa8a0abe685382c00839ef56b97045e93d92551120e00ecb86196b0c3ba3094.ctv
Nasamat TV,https://epg.pw/stream/8e6560dac43eed1b864550efb02b1aea9d7803a84610a01b0257827d009509da.ctv
Sana TV,https://epg.pw/stream/fbaaaee8de00cc5900fd46fda44b5fd379fc0f86e7bbb8efa36176536c5e25c9.ctv
Sana TV,https://epg.pw/stream/11c5fbda2aead7378c2a083f920253a74231758399808b2d336369eead5001d6.ctv
Sana TV[geo-blocked],https://epg.pw/stream/68773ab2e3414cb65611c5adcbc60d7d5e4f55ce5cfd3fafbaa53cb65bc8b5c8.m3u8
Sana TV,https://epg.pw/stream/c1002081c5754c4c8d64bea8603cd4f35e4b81aa3bf0e22b07e0b493cff6a6d5.m3u8
Sana TV[geo-blocked],https://epg.pw/stream/84579ec1d0b45a7255a4a3517b984ae6e2edc1027cc12502bb2541fc8afcf791.m3u8
Sana TV,https://epg.pw/stream/1caecca7915fabcd7f4581e6002639f8d8f0396853ef06282994754f95c8cb51.ctv
Sana TV[geo-blocked],https://epg.pw/stream/3965398347bf491e27bf5dbbae54c0d5631ecf77eb8e6e0b6e532086258cc491.ctv
Sana TV[geo-blocked],https://epg.pw/stream/1d77c153be7bc807ae0c03a43acc5197a253e6ada4393feddd5c84696e833db6.ctv
Sana TV,https://epg.pw/stream/6942e3f6d04be38346d71c21e716ed6db5dcf44397071d9ff08ec6164b59a399.m3u8
Sana TV[geo-blocked],https://epg.pw/stream/b785d08e4546a7cd99a7040459a856dc2f8c1e907dd074f617b0538b83f1c913.m3u8
Sana TV[geo-blocked],https://epg.pw/stream/e3c7b0f61e1e2d88c8ef02faf2e872b61ba08f132cde2e742dadf30f3dd5cff9.m3u8
Sana TV[geo-blocked],https://epg.pw/stream/b22a93b018ecfba41cfc9000665aae661757686f375608a1dabce7078b3ffbec.ctv
Sana TV[geo-blocked],https://epg.pw/stream/ef43c33899a285459ac23721a551c7353e739024f1ebfd00dbc7946c4ed40548.m3u8
Sana TV,https://epg.pw/stream/60022cbb8776024a087e3f4ad03557163c154b65147550bcaffadd9bb637f199.ctv
Stars TV7[geo-blocked],https://epg.pw/stream/ebf8892acecf3bd224ddf59145b629ff0f21451f8ab304aa94cd585e297a442b.m3u8
Stars TV7[geo-blocked],https://epg.pw/stream/01e82b078f3c382a853c8eebd945501ee6f57681dd64f4b38c942d5caf03f380.m3u8
Stars TV7[geo-blocked],https://epg.pw/stream/48ce7e24aa3a47bc74297a64f230fe37ca4825f1ebc0a3f6e5b0cd0b87a1150a.m3u8
Stars TV7[geo-blocked],https://epg.pw/stream/d4191f04ba84679d67d503b8dab0c5df807d2106c7d2023b84551e3e22041e3b.m3u8
Stars TV7,https://epg.pw/stream/ba49ea5d9f79e29dbbd440c613c187bd8ccf9d8a7bbaa05be2fe28072913f7a3.m3u8
Stars TV7,https://epg.pw/stream/6dee12b5217187f8a28a68307289940396a4d4e8aede98429dfdfae92fe2838c.m3u8
Other,#genre#
Noon TV,https://epg.pw/stream/9f7f403cc632fc5bf633e7434fb71d1f11d438c8dfd3cda232eacedb5cd37f56.m3u8
Noon TV[geo-blocked],https://epg.pw/stream/a567c8322e2348305bdb0933e444d9171447dbb6481575e9a67f8e15c0fcb4b0.m3u8
