#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Animax(Korea),https://epg.pw/stream/5e0d0629ac4269c8b6dabed16a5b086c6de4aaaef9cbaa8b81c9edde00144c1c.m3u8
EBS Kids,https://epg.pw/stream/91e03894f6b340c893360025c8171e6fcd4a4f8e6a1e5b1524e870cc9bb0d8a9.ctv
EBS Kids,https://epg.pw/stream/7fcd3f4bbdeb9ef240ae632db297c28c8cb0c5ab79520860e11fe50ce15a767a.m3u8
EBS Kids[geo-blocked],https://epg.pw/stream/762f4ede0123d75b8c30c9e99ee2d91db4f634cc9b1feb864bd703d5d7569b25.m3u8
EBS Kids[geo-blocked],https://epg.pw/stream/dca4aabdd83d81f3c57226f57763e6a566dc39e2aceb5ffb0a2b65f1778bd681.m3u8
EBS Kids,https://epg.pw/stream/25b6bd3d3667a7f7db42045bdf8239825b8c9628f2e4544a57e881322ec3f27a.m3u8
EBS Kids,https://epg.pw/stream/5141daee551de859d2fc2b20ef97d7200e2ed53e0f67ac1b91e45f1ae8620433.m3u8
EBS Kids,https://epg.pw/stream/e10a496c7b86495fde4fab6573ea6079c229848e0f9874a34b78ffe55cd76c00.m3u8
EBS Kids[geo-blocked],https://epg.pw/stream/bab3f5abe2c8aa0f365921d7f632d366c315ffcf6ad727f0fad65c3e97fb526e.m3u8
EBS Kids[geo-blocked],https://epg.pw/stream/6177283186b164d8776c9b9369db425dbf2db107fc6b36074ae3ffadccc03cdc.m3u8
EBS Kids,https://epg.pw/stream/1e96c24062e9e74d06419916def0b3f894cf10da83f2da33f1b80615a62a461d.ctv
EBS Kids,https://epg.pw/stream/5df19ca102db9d5252a2df507ba01fc1f56005499632538428b761930946faa5.m3u8
EBS Kids,https://epg.pw/stream/faf6207ec88cca2df77f13e745aff633cbd0c39038b9268cc2b4cafcb42dbb6f.m3u8
EBS Kids,https://epg.pw/stream/46ccdbb43541d760708d3fcd920e208c765ea34429bb021272b21d4f0e06864d.m3u8
EBS Kids[geo-blocked],https://epg.pw/stream/a696206e8bfe734ba17d8b8a838af4d966d22a476364c1cd64f9f12df586883b.m3u8
EBS Kids[geo-blocked],https://epg.pw/stream/81d70408a617c435ee5f485eb38afecc19ceb303e995b68167052ae3a87b9291.m3u8
KBS Kids,https://epg.pw/stream/b7a3276937e39c9e2a2258b2db0e248fdeef6fd7f0c6a5fff0bb456d06823fcb.ctv
KBS Kids[geo-blocked],https://epg.pw/stream/4b823632d0c7b4cf7fcb2ec387b0258009482cc386cd226ce59ff509e104fb9e.ctv
KBS Kids[geo-blocked],https://epg.pw/stream/cbeaccb810770fd66068bf06728e3c77d4ba86c74c30b3f63b1ebdf9b830fc24.ctv
KBS Kids,https://epg.pw/stream/58a46143c4ca8ee004f825c20e24fd05138f879239208c687ecccb95409c800c.ctv
KBS Kids,https://epg.pw/stream/8a1f3f577d7043a06b5fe6ac740d7f27249e88a2cd21e9a1cffade0413b40e31.ctv
KIDS-TV,https://epg.pw/stream/e8a25e6dfe4cc30c9d3cc6520e0c20843e3471b7429f65cb97552c554a4a659f.ctv
KIDS-TV[geo-blocked],https://epg.pw/stream/aa7ebae3cebf9459a589a10612ce09e80be7b73ee135f12208f45e34ab76359e.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/19ebbd7f782045a25dcdf871aeb3483d4df214d4d8a5d7c0700e265cb1d06412.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/d38f5bf65f298b6cbe95b6829468d2becc4658ee5c7a13767fc0945fad446258.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/4e406993b9489a5765bad96d909222197693b03c76e6ad0a9b3c3100238f7a68.ctv
KIDS-TV[geo-blocked],https://epg.pw/stream/1c62775d343c5ebf55488c1a9e32ae9bb0bb958a6ec790ac6b3023197374c6eb.m3u8
KIDS-TV,https://epg.pw/stream/ae1ac949d065e951593f2d10898f1fb5415a68cae6d6dad4927920d5ed987e44.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/828e05a7e991d4ef5a51a92732538e6e55a4341f2e48589b77d94fcd0826d7af.ctv
KIDS-TV[geo-blocked],https://epg.pw/stream/715b39171a22e9726ad433d4b8cf5a0ea02f52b0097315d89be45e1c69d5e0e5.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/2e76d5d919dfa4e6c17d7e8be73698ca6a372eec59a634eb5af8cff885817e9d.ctv
KIDS-TV[geo-blocked],https://epg.pw/stream/56d14ba2a6283f03f0961b77bc010412ca94934a743fedc488bdbbf6cb3b426a.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/a3817f3967fb053dbcd62f93c98deb3c88753d975b56590efbcd2a444a34c750.ctv
KIDS-TV[geo-blocked],https://epg.pw/stream/ee86a499e0070f63c979b94f2ab0922c5fb0fe8898ccb0c80ff2f51999fa707c.ctv
KIDS-TV,https://epg.pw/stream/d3b49f8552e4df1243cfdc4bb0455384bf16f0469043f5e47f9679ffa65feedd.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/d9674c7db6a46a00458bf172defe2a90d1a74151be69eceb7c05b6025f8798a8.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/d68deef7c31756f583a14467838b290c5f890d5ea1c11db2d5d18697e4762d39.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/10bacbae40146f7937123f0dde997ef421b0ee2e32ffd624a8a6b12eb64e4d80.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/c8dcfb495ff560fee4a296d8f18d52ee8b6f75d49ed29e35bfa5923a91c79dac.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/556144d24426362ac36e47784b7fc6532dbac74130ff771aa410c5c50ced6947.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/e66d4e632a777f9ccfce4dec73d7c1e2e8f8d56cdfce2cd0b43572926e431a66.ctv
KIDS-TV[geo-blocked],https://epg.pw/stream/84ae51f855e06e61aee68c88ead8d46dd9f4b9452271758e5952c99e22440dd8.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/8203d4d28e7632909f7ea73d6ed027ab5956ac06c976c0dd752c24ad676302e6.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/5e7743abacc9be61c6560cb93f41de84d309e8c1c0a3125ba269159170b8906a.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/1817488e1859e41713dfea10b5ba973a1ca088063b456b58eef73ecd1ad9887a.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/4c33ba323ea44afcdc5373067e6b381b7d37628a635610058582ad70ae390b0a.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/4a958d6b0cc6ecd4163373bca8c83f3d00ddc544d0af9bb9e3c1e72dd18fdaaa.m3u8
KIDS-TV,https://epg.pw/stream/b09b16cf70ff848d0223cee665266777a3e5bc8477cf47ce77617ed0df9ebce4.m3u8
KIDS-TV,https://epg.pw/stream/8dfb68f750f5590b7cecdb2d1984cde2de2fafe8ee56f5a2a5dab0669af329f9.m3u8
KIDS-TV,https://epg.pw/stream/58399791c624c7d7715b38268c6d1cf60dcb7774f9541de897fe43ba2ec8e0bf.ctv
KIDS-TV[geo-blocked],https://epg.pw/stream/485b695098ce252e000d92b7c984f55e06168bdfeae88500bd111c1c9ddf2419.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/f0783220bf32179639d0b7717243f0176c21a0022257685263ab2ca16e519a65.m3u8
KIDS-TV,https://epg.pw/stream/8b6082d7d0471c7c24e524e6b928c44d3325b84cf9df12a92a2dcad9b767b695.m3u8
KIDS-TV,https://epg.pw/stream/e50c3d40ca546952018e996ad32a2e882089d608d19815d40eab551d7ca11117.ctv
KIDS-TV[geo-blocked],https://epg.pw/stream/0ec307f60f12a6ae97120c75a6686eba69525f600b9b9d2ec71759f2af0fdba7.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/edb72f74b359c1fb23bb856e0f3b06ce845686d5db9a60f6a603c7526fdd9248.m3u8
KIDS-TV,https://epg.pw/stream/5af04e2c0c48d88d391f1852cecce14d8ea7ded52e5ee6b85fbd2e16134f8f99.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/2ef0eaa8e58be83e729f4f4ab7dd3678239ade105eade6c24eb65108b3cdcde6.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/ac5bee1c15cd9925dbde051a41038e2d36c521bdf9a5aa441365234db67e2165.m3u8
KIDS-TV[geo-blocked],https://epg.pw/stream/ffdcabf12059d5fc32cbaf6e94dc1feeb3e2f55ea864874b19dde285e3b7f2aa.m3u8
KIDS-TV,https://epg.pw/stream/ede63af826a338f775a82c8d35206b02e9240f09e743b0b690aa9eac047cb87d.ctv
KIDS-TV,https://epg.pw/stream/f7829f717e51c12ab3fdfe754a46d0bc4ce5dd4f3214a267c4e50f0b973c1dfc.m3u8
KIDS-TV,https://epg.pw/stream/9d72fde5d6b4c7cf79d90a02314ec729aeec2be2c6313f17f7428b68420a3e46.ctv
Entertainment,#genre#
All the K-Pop[geo-blocked],https://epg.pw/stream/1922502534cefc30f5d9196457068882f9138b3714a86665a4bdf2fa2e5ab8a0.m3u8
All the K-Pop[geo-blocked],https://epg.pw/stream/2cb229d5c4f60739048c0763339c86b6c771437ae422479d812b0e5ce7ee2e81.m3u8
All the K-Pop[geo-blocked],https://epg.pw/stream/055765233a2fd9189790312f29ff639d41d11a5ec062b9fc2409be7ecdea50cd.m3u8
All the K-Pop[geo-blocked],https://epg.pw/stream/d26138d6b166768205f8f167dcfaff1a0b9d21af67bd17062b0c7aedb710d30e.m3u8
All the K-Pop[geo-blocked],https://epg.pw/stream/25d821604d657a5fb5641dbebdcc0adea74795b8a0a94cf749dbeb51c2912ca5.m3u8
All the K-Pop[geo-blocked],https://epg.pw/stream/8286fae713dc6bed74f2ff200afca0571a430238ac023f1490f2912a61cce532.m3u8
CHANNEL A,https://epg.pw/stream/178c0115137bcb0324666ea05d6a9cda94f5b9000277fc318338c210a13a5c6d.m3u8
CHANNEL A,https://epg.pw/stream/ffcbdfd354661919adb5a14c32619249f87943d335435b5ece9afad68eb3966c.ctv
CHANNEL A,https://epg.pw/stream/75a6177285ab6204ab43e244e9a7dfe76ac4de5df3597f4ec83894a2cfef5fdb.ctv
CHANNEL A[geo-blocked],https://epg.pw/stream/db712c2954f9cb8a0b9dcc3c5c8f39d6be369d14d6bcfe68d35d43392d02d46d.m3u8
CHANNEL A[geo-blocked],https://epg.pw/stream/123a0bcede9c23843c1cd26d7ac56f14b658659ad3b1223825744585b98f426d.ctv
CHANNEL A,https://epg.pw/stream/6fb879a75261ad4977e84dc837aa130c8001703c79c045b552706751527cf7ca.ctv
CHANNEL A,https://epg.pw/stream/d04b2b687e8d0f02afc652006e58e6402f4a42a9af50e29856dfd159e0aead6e.ctv
CHANNEL A,https://epg.pw/stream/76e5d490204d6710b34bcf472ab32ceebadd2b5f4fff62b86b82bd13f99ae190.ctv
CHANNEL A[geo-blocked],https://epg.pw/stream/38a99e0962af44383c55836cea4ee5ccf24b27d8a5ca1a4f4de33a1866d23c2d.ctv
