#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Cartoon helot,https://epg.pw/stream/44313ac7139e4f0904c74a66516dc832e4dfb4ef5dc1faa9bbbe42b1b8ae64e9.ctv
Cartoon helot,https://epg.pw/stream/f658ac62b3008683f46264a0cb2656ee69427a921681c47bd9fde7a39fb99ef5.ctv
KURDMAX Kurmanci,https://epg.pw/stream/02bc1d5d7c140f1ba5342a58cfaf4a1ecd28843e3df58bab6be52fb8dd1ceade.ctv
KURDMAX Kurmanci[geo-blocked],https://epg.pw/stream/7add93b45b83e15c1c846077bcff63e8a0d33183f5019734f341adeadec8d29b.ctv
zarok tv[geo-blocked],https://epg.pw/stream/739a8fbbf1ae4c9dbfaeb43fb678e6734cc43783a2c634c118ac69f7247e5719.ctv
zarok tv,https://epg.pw/stream/85b4062b54b1c858be1cb2db668832e8bde55c203c57adec88886a890754af72.ctv
zarok tv,https://epg.pw/stream/654398099183c1a9f21dab57c11e309f1fea42ee23be9a3e8aa9011ebb740441.ctv
Documentary,#genre#
MAX TV,https://epg.pw/stream/d5d13da534b47621fc6662c89519ae992c9588349bc5677a7551358eabb19f63.ctv
MAX TV[geo-blocked],https://epg.pw/stream/7a76b1b2e66d1e3ce6d1cd267ddbf333b8391bdb144876573a1cb3869cb34083.m3u8
MAX TV[geo-blocked],https://epg.pw/stream/26b6c680a16e8bab14e30c7005c6ef497d69dfd328934f845ff526136cc2e148.m3u8
MAX TV,https://epg.pw/stream/f24295550060cb5d53e04c94f42827e96aa9e30c3f62012280f74a753ee0244f.m3u8
MAX TV,https://epg.pw/stream/1f1d37c233dbbe2587c4c334c680bfe8a84ef78b96416acd31a5f7c5eb88c777.ctv
MAX TV[geo-blocked],https://epg.pw/stream/335f1ba8a17365b76967464bb9815ce83a76ea9353799a3b06e7bc610eed2b5f.m3u8
U2 TV,https://epg.pw/stream/53b5021749631843c6f8f6da86762da8ba45512b3231d5582542368036d96762.m3u8
law tv[geo-blocked],https://epg.pw/stream/3ec292d1e22ae74528e612e8b3e8da84926a0e6687166e1923766ee39bba4915.ctv
law tv[geo-blocked],https://epg.pw/stream/a9a956f8582e6c9aa9b42781653713c737e65ee6f4aa18216e1ce31cc3120c95.m3u8
law tv[geo-blocked],https://epg.pw/stream/beae549dd1a3c339ba520991f8bdf4fb648fb342b6e9910fe5e27fd870c50bca.m3u8
law tv[geo-blocked],https://epg.pw/stream/cafd20728f82870d9906b6815c265266e4163b82413f87fbd3b317f2a37fb429.ctv
law tv[geo-blocked],https://epg.pw/stream/7f7501b4aec47156de5463b182e300eb3b87d010a8e97784ba4e4b9cf8aa972c.ctv
rasan tv[geo-blocked],https://epg.pw/stream/607b97c41d64061d96441d7c6496500991928e03e6f06d1985030846271981f2.m3u8
Entertainment,#genre#
ABN TV[geo-blocked],https://epg.pw/stream/95f4a53a3e7e421f2860d501af0cdd6acd7d9d23394653065d9ddd797d36f7f6.m3u8
ABN TV[geo-blocked],https://epg.pw/stream/0fce57aac5f70025f7a4057ec9442509e5e3bd30fe63cf0ed343b11f0fdfa9eb.m3u8
ABN TV[geo-blocked],https://epg.pw/stream/445b4faed1d6500e944b67f44a53c6a94259ef0e6e2b2f4117ec18ab685140a7.m3u8
Amozhgary TV[geo-blocked],https://epg.pw/stream/a8cd86a9a8da94fb9a372ba6efab038c10448f97bd2c2ca322da144374f58ef5.m3u8
Amozhgary TV[geo-blocked],https://epg.pw/stream/614a8f1416a18e9f4526e48fc473c614002b342d6088ae5cee3e099b9e3344b7.m3u8
Cihan TV[geo-blocked],https://epg.pw/stream/2cef1cd002f11541c817e99a5fa8476343b899e72ef948f3727004d46eaafd4c.m3u8
Cihan TV[geo-blocked],https://epg.pw/stream/3c027da5752fb4b151f703fda3458f7841846157bd34a907253a65f80955f28f.m3u8
Cihan TV[geo-blocked],https://epg.pw/stream/1a1bbc2fe3af1546eaedf56aa1c38837cdbe69d4eae4144748537f23971155ae.m3u8
Cihan TV[geo-blocked],https://epg.pw/stream/03bd710e98878196d06d61a302c040c1c784e6697a91719614a000c5e49079b5.m3u8
Evin TV[geo-blocked],https://epg.pw/stream/fce8a5e0142d203a1430ff92262b9c5e5c6d67e424702957f9d70650660ac9ad.ctv
Gem Kurd,https://epg.pw/stream/c62f757eb0ec6d7ba23042f269a045526c95241f6d357d9967d2e35c6c3d26cc.ctv
Komala TV[geo-blocked],https://epg.pw/stream/882385abbaa4f7494d9f2addf94555d4c1c940091a6c21070d0922be5182a04c.ctv
Nigga TV,https://epg.pw/stream/87a1d45a96c7ec38bddd7117133766aca24083eb2a19a41b9260e0b4f90a8c5d.m3u8
Payam[geo-blocked],https://epg.pw/stream/944f054aa3bacd5d5e4a82ba6663e1c5f88323d20521dc66fe645b22e1c5c09b.m3u8
Qellat TV[geo-blocked],https://epg.pw/stream/c15f36e0ec68ad59aa0c092c6a8bb478431daed1ae9756827fb99f99741181cb.m3u8
Rega tv[geo-blocked],https://epg.pw/stream/466453020578b261831d7a7b244b759cf114d9f4e8abba4ddbdf13714a74a85b.m3u8
Rega tv,https://epg.pw/stream/b45abcf6be7e03cf37a0bba0dfa86b1ccc841e25f0e557d56c7ee055fa7e1e59.m3u8
Rega tv,https://epg.pw/stream/eebdc5d7bdd07b38c2ff98d954a42087c12d661a79c639c6502a0ffaf3c795cc.ctv
