#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
scope tv[geo-blocked],https://epg.pw/stream/8e78b8ed8fa389728da234a3db319398249d0f722966b714869dcc17fa0db36c.m3u8
Generic,#genre#
KTV Arabe,https://epg.pw/stream/814abae6d189484593aeff98dfdfa56896a63ed0064acf16d9f846354b5b0c10.ctv
KTV Arabe,https://epg.pw/stream/cb0c3d7d3760da6caba62cab2728d7126cc657027c3fd8f4eaf332752ae04e74.ctv
Kuwait Ethraa,https://epg.pw/stream/00fdce6136fcf410a65126bc1848e729a97c1a6abb81159586ed5ea799ce61dd.ctv
Kuwait TV 2,https://epg.pw/stream/1240a6b840ef895c6feaecd9fd00b2c6d360d37de85e0d36c45102bedc483bbb.ctv
Kuwait TV 2,https://epg.pw/stream/3797173dd231f5436d102d7a5a5d369f03860cea55dc5c0d342ccee6e6df54ca.ctv
Kuwait Tv 1,https://epg.pw/stream/f13f9360de66a887b1eafdfdee3b59d1becd0eb7a5171a448e0677ee7ed33efc.ctv
Movie,#genre#
KTV 1[geo-blocked],https://epg.pw/stream/082ce641424296ec8cbb0dec77735953fd31bb191b8584810cc68e9847b79071.m3u8
KTV 1[geo-blocked],https://epg.pw/stream/167a20de0543f12db2c12243640e2be8ee849ceacce5ef176d0db77edaf0d21e.m3u8
KTV 1,https://epg.pw/stream/a7971e6ed4f1faff8692687f2ca6d020d41f3531634ae51c592a3e4a1039bdee.m3u8
KTV 1[geo-blocked],https://epg.pw/stream/739a6982e432f48f5b2e9e56ec8b17774820a47868e8f4cc232d3358fff148a2.m3u8
KTV 1[geo-blocked],https://epg.pw/stream/4dbc98102e7631b707249371964db95d01f3e5a5d64cd39ba4f5b4886e16de44.ctv
KTV 1[geo-blocked],https://epg.pw/stream/91ab729b57c9ef7ef4d8389eb723ce0c9e6df68027789a58563d70d63408a181.m3u8
Time Cinema,https://epg.pw/stream/b550ee8c5b8d83a2b84c11cb9348ab3f37efbdfda7806d34df0a04733bdc47c6.ctv
Time Cinema[geo-blocked],https://epg.pw/stream/b4a6e297e3a209f482b8c628c78a49edad8bd64b08fcbeb5c05aae3cf1726ab8.m3u8
Time Cinema,https://epg.pw/stream/1de24ef44e58d8481d58fee2c7d41c4c414337e9eb73e640974c586fa0f1ef6e.m3u8
Time Cinema[geo-blocked],https://epg.pw/stream/90967784d52c54c1490b4e23961945c86b6d7a114db0cd8724e9fd510769817d.m3u8
Time Cinema[geo-blocked],https://epg.pw/stream/69b937936ed6f12a584888f2bdf5a58c4e91defcb60d11aa8edbc3548ce765e8.ctv
Time Cinema[geo-blocked],https://epg.pw/stream/1958ff0988b690ebbc9c85ed203ebe4b23b8001ab0309e6e3d4088a30e152ff8.m3u8
Time Cinema,https://epg.pw/stream/95b8e20e5d96a174f1a54061e9d6dc4ebc9670ace590ea2cdd3aa1eac869a42f.m3u8
Time Cinema[geo-blocked],https://epg.pw/stream/58da7863761c98e77e7dacb87a237af68f484311f111a5a6390fda931d91d941.m3u8
Time Cinema[geo-blocked],https://epg.pw/stream/d4957eb044922a58d11fe96f9aab387c71f3702f9ce8e5c9d281e1f2f5899a06.m3u8
Sport,#genre#
Kuwait Sport,https://epg.pw/stream/5966b89167b062310e473e8756d767c185e94e514fb38163fc7b21a3118f7542.ctv
Kuwait Sport,https://epg.pw/stream/09f35106740da0878789c3845e68dc0e3cf707f6e7157106bd82607d8df4f063.ctv
Kuwait Sport,https://epg.pw/stream/9cb17f65abb10483f02b6e875a537132f4119cd8262dba78f1de8d0489638632.ctv
Kuwait Sport,https://epg.pw/stream/7ec537b8cf826f9cf31f86438dd33b69451e0b4310d74312081a2d7b10e01de8.ctv
Kuwait TV Sport[geo-blocked],https://epg.pw/stream/f952f9e50ee72ca43d38ef3032c192ce3c3ba405998e952a1f7cbe154edfe96e.m3u8
Q8 Sport[geo-blocked],https://epg.pw/stream/571f8843b990bacb0bb84a688732b7300606e03dc40e328a26a2a476e9c9d866.ctv
