#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
A1 Balkan[geo-blocked],https://epg.pw/stream/6efe8a611cca03ca9575ed38f94a79117a65c5efe5e36f1cf39c3ca1299f4faa.m3u8
A1 Balkan[geo-blocked],https://epg.pw/stream/ccfef22950d87ec29be1a5db7ffe38aec2fbab572f0b7a4cfb878e16417a38f0.m3u8
A1 Balkan[geo-blocked],https://epg.pw/stream/ee2f05d24a603f8c156ff734260c74b2d817d8fc423686ddcc90bae4aeecee2b.m3u8
A1 Balkan,https://epg.pw/stream/455c5473e981afb6b6d54e43ed3dce63ff374b0112b14dc3ca359301e23829c1.m3u8
A1 Balkan,https://epg.pw/stream/d2a9f55f5b6e2a27a51aafab3dc4daaa5b4c685beb24354d37018d9635ca6c90.m3u8
A1 Balkan,https://epg.pw/stream/9df5f52a0b3f7e8b0269ef32d71310a006b3bcde6d0bcaf1824e54438a69f2be.ctv
Generic,#genre#
A1 Telekanal Macedonia,https://epg.pw/stream/b1ad9884a7153e1858b280a1a41c9cb92d4ed59167811a823c2e114ffd96ba20.m3u8
Alsat-M Macedonia,https://epg.pw/stream/b9e7c175a5fb049b0b65aa96acd3d22251ee941600f4540165a4a8e24607f20b.ctv
Alsat-M Macedonia[geo-blocked],https://epg.pw/stream/889b87ac01a0368a6cce3557856a21fab8aaca8e54d0cb497b2a8160c8629d27.ctv
Intel-Televizija Macedonia[geo-blocked],https://epg.pw/stream/6ded441ae3ff0bc84cfc74d48e71aefa3fdec71961915b68e385503b3f9d6403.m3u8
Kanal 5 Plus Macedonia,https://epg.pw/stream/6a8417556d2521050be2c72d1b01042cb81465b88c274faa671700df1494b89a.ctv
Kanal 5 Plus Macedonia,https://epg.pw/stream/0d4fc2648e148b5f2f819dd8d0a8e4e21c2f600dcddf629bc0c96d4e4213c7f5.ctv
MRT Sobraniski Kanal,https://epg.pw/stream/7fcc0f4b115aeb7372d3731be6f15cfaa9323073a4dabb26b37955bf4e69b59e.ctv
MRT Sobraniski Kanal,https://epg.pw/stream/0972490f2821aca46f5bf6b7376e122009e1847e6e286590170cae6d80ecbbd2.ctv
Mega TV Macedonia[geo-blocked],https://epg.pw/stream/af870dee14f15e1ddeed45032663e2757f7617f76f11c47bb2d614181d1e5d31.m3u8
Mega TV Macedonia[geo-blocked],https://epg.pw/stream/6b76538951e62209e0961c7bfca97bea9c8cb69e5bae2c6a9551cd31103b3ec1.m3u8
Mega TV Macedonia[geo-blocked],https://epg.pw/stream/a8866adc6bebd81a98f0471bb814b9f5b2b1d786f017265f2d4f20c8fa76a701.m3u8
Private TV,https://epg.pw/stream/aac826e4d08bc40838452128b13d1d6ee94f5320ede560e77683a21977e10d3d.ctv
Private TV[geo-blocked],https://epg.pw/stream/425e13efa4d9f672aeb1612ef944ece195a741bdc023f330f0e643ae261747ef.ctv
Private TV,https://epg.pw/stream/cb0bce8aa981d9a9a91acde064b4ddc6898a7ac3f6ff52ef27e6ce20e52cb4fa.ctv
Private TV,https://epg.pw/stream/f15bfc86191a1353334417b4325729d3273879238aba47cf770b958437e7c7a5.ctv
Private TV,https://epg.pw/stream/17859926a99a33017d36ecb3fd64ef44b60a6ca32c2221c5b20a0c328a0d5881.m3u8
Private TV,https://epg.pw/stream/f3fabc52ea15fbc5ffb8aaa7e13d1d0c6c6d12dda0376c9173733d8eb04215f4.m3u8
Private TV[geo-blocked],https://epg.pw/stream/79ea90dd5d51f610788963297c113566c4689ca3cc8ad2948cb2aec55a50596a.ctv
Private TV,https://epg.pw/stream/a50470d6704384ff57be24b55022548a8e83f72391f6d948cd526b67e72e4017.ctv
Private TV,https://epg.pw/stream/a7dca0b3575f94d868870fc02a8047c17f543beb857dc7b180d96ae73cffa350.m3u8
Private TV,https://epg.pw/stream/d5edb20bfa5808c0d8743879b173ed03e764cb16307c805ac7de2c87f4e4faa6.m3u8
Private TV[geo-blocked],https://epg.pw/stream/551cb1e50bfdb09d93b32585379ffd64c48e415f40e3b0b340c2f621de48f4f9.m3u8
Private TV[geo-blocked],https://epg.pw/stream/daac09cd60f479361bd2a6bd8ba98f9001c846d5d63891eae724a68ee11ba3c7.ctv
Private TV,https://epg.pw/stream/e22f172364e9c98196106c08838e80939ea1b11f5b1cb7fa5af4abc7c18b4317.m3u8
Private TV[geo-blocked],https://epg.pw/stream/9fcb272f2c87ad2ed948bcdbf2ca933faaa053a2431db81c164b8b3d18e9172d.m3u8
Private TV[geo-blocked],https://epg.pw/stream/da26880702570348be68ee407145f648f71ceb7b36eb8304f9e998fbe26297b4.m3u8
Private TV,https://epg.pw/stream/022105026a850d4b51901bf71a3f5a6d6b56d1e806123439f4b856172f9eb78a.m3u8
Sitel 3 TV Macedonia,https://epg.pw/stream/80ea58042e8605400ef0ae3ed68bc8435b6f5cd0f7801f22030aefb71a95560c.ctv
Sitel 3 TV Macedonia,https://epg.pw/stream/e95610a7b6e940e3cd128d2d5c163698ad71513d4bb3c5769ec945928ced84ac.ctv
News,#genre#
24 Vesti Macedonia,https://epg.pw/stream/f55605021e6bf6d1044abac8b5ae26d87f661f016365d81d198200f12492e804.ctv
