#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
NOROC TV,https://epg.pw/stream/82bfe1c2cd716fd0d37f3b921f8aeafbdf76967d74c83ff0dee5ecdad92db875.m3u8
NOROC TV,https://epg.pw/stream/64998dcb6b2674ead29ce589338f5aaf196c699f91fae15c049c4dbff78924af.m3u8
NOROC TV,https://epg.pw/stream/3033094df6b45820d5efe5ed7c8cdfa7f14cdc6a264f1a9ced34b02e30a476f1.ctv
NOROC TV,https://epg.pw/stream/4cd51ff1d2a9b4e0f5e875d018e72bc313d8ec91516e499ec4bc5498f33bf70d.ctv
NOROC TV,https://epg.pw/stream/307c5eec40a139c412fc9c6643e99c14bc47cbb5cf42443d4673788d534da233.ctv
NOROC TV[geo-blocked],https://epg.pw/stream/6637f2b373f4c8d0199e8c1bd19f902110b0ce78707cb86d4b7221f2c7042f28.m3u8
NOROC TV,https://epg.pw/stream/d12c89ce33ada2fca20e3d9a8b5de40916305b38ae316fadceef48f86bdcc410.ctv
NOROC TV,https://epg.pw/stream/aee0ac31c310c15283e598056e7d8a25cded424bf9006ef1cef399ccf21459fa.ctv
Generic,#genre#
Canal 3,https://epg.pw/stream/62d59f0689370c1f27191e1c2e980585ea8126e3bb22687a0c4be200bff9211a.m3u8
Canal 3,https://epg.pw/stream/c53cb9d3db29c3d0d46343f93974f10fe6c0cd1499d50db99bcf74362ae532e0.m3u8
Canal 3[geo-blocked],https://epg.pw/stream/30bbf7b197ad6e4e45a826c5dadc338f62b1cd90fe940949a637738159d376e9.m3u8
Canal 3,https://epg.pw/stream/f934b9da2298bf5c518e850aea3e38a3b7ddaf4c9958bcc788bc69cbafa3b31a.ctv
Canal 3,https://epg.pw/stream/acda90360aa707b9c672ab9baabf8043aca5d2d895bb70b7995ea5f3c5664627.m3u8
Canal 3,https://epg.pw/stream/b92eccb96581c909fed290fb893e7abe46c86ec3dd0a40cb8545d124cfa8719b.ctv
Canal 3[geo-blocked],https://epg.pw/stream/4331e1aeaf95d053e5e37191bd1d07eec548bf486792a24e2e60f9f436e40fd7.m3u8
Canal 3[geo-blocked],https://epg.pw/stream/9b8eb0c78541f07a2484c578f9a281554f18f41b2f6d618f593a1c73b5ad6dc2.m3u8
Canal 3,https://epg.pw/stream/02d7fe13c489edac37b120ced0afe65dca89d3cb211a46f3a09827f5ec3a6a95.m3u8
Canal 3[geo-blocked],https://epg.pw/stream/4646d4f8ee4b0662f28741731c09b0f79554628fa28fec0aa780ba543f2d041a.m3u8
Canal 3,https://epg.pw/stream/37dae2a4fcbc3c1430b82c990523a26bc5d844405e14fa7fa9f2ede75fbc2cab.ctv
Canal 3,https://epg.pw/stream/d423ea88ce433e59b5776f56b47f99a2c0d9fa5d996099887cdbb36c9661e055.ctv
Canal 3,https://epg.pw/stream/a709e1cb3c287c15a2d2ee0c3dcd87926157406160146417945f01a294297e38.ctv
Canal 3,https://epg.pw/stream/a145d14beed4a711137dca97cd2d3debbff75f772c80e451270e34dcf38024de.ctv
Vocea Basarabiei,https://epg.pw/stream/aa5a915d6c48d0d856c69dc0233e44561b3662556db74bbb0881387868665215.m3u8
News,#genre#
MBC.md,https://epg.pw/stream/a2aee1221f1b25cc4fa9d4dfffd347973a05e58e71b46c635f929903d552283a.ctv
MBC.md,https://epg.pw/stream/24e1c55a4bc1d3a7bc311eaf7fb12016284b89181282b31fddf54942531a0464.ctv
MBC.md,https://epg.pw/stream/597838e4e73b3e12309b8a75cdcbef37c5a058df1844edfb5fb30f5244c6471d.ctv
Publika TV[geo-blocked],https://epg.pw/stream/f1163216f640ffc950f7c6a03eeeb2f508fdd74442a7089458daad41c2955f2c.m3u8
