#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Generic,#genre#
ECO Channel[geo-blocked],https://epg.pw/stream/88dc3f1cc6b7787c3329839b8db972189b0c2699f5f10a5f24f95325a98330bf.m3u8
ECO Channel[geo-blocked],https://epg.pw/stream/91c3dbff0552c908dd052375dbae81130a811e2486f257c2d46882cd46a07d3a.m3u8
ECO Channel,https://epg.pw/stream/cac38bc16c8d090c0f69ae88002dc2fd91d7602cf362014633302a1854ddd780.m3u8
ECO Channel,https://epg.pw/stream/9e1dad986d92348350ef6949117a07780f0c0d7bf6981504ec45cfc74193043c.m3u8
Edu TV[geo-blocked],https://epg.pw/stream/5f019dbef7a160840416f85b6e866b02478f2e10d7e41fe7207bff8d336d248c.m3u8
Edu TV[geo-blocked],https://epg.pw/stream/a1c65cb1d16cf281c713cd480d565d3381001d2b65011ee4aaabe6138a9977fd.ctv
Edu TV[geo-blocked],https://epg.pw/stream/c6770f7f9a518b6bc99aa73ab10f159f5ab8f5612e48aeee97f0f54edffbd43d.m3u8
Edu TV,https://epg.pw/stream/cf3355b0d7383628292e28524dfa98949c44b8e5a5d6ad30c3a90c359f1a0566.m3u8
Eh Oron,https://epg.pw/stream/d9aed4a25cc1d8a3635ba085c425f5fab491fec7af29a5f6abdf99b8f889334a.m3u8
Htv[geo-blocked],https://epg.pw/stream/33d9931840fe7eb352746fa2cb936848a85d7d74ec0dc6f66147ea9db6b3a7ff.m3u8
Htv[geo-blocked],https://epg.pw/stream/28c4b4401bd05bcc3775d98ebd6267447b2db11866051592bb74b001df49c64b.m3u8
Htv[geo-blocked],https://epg.pw/stream/2e11bb0d90d6677d0db94da4af94813c199fbb701cd86c262101204acd64adc8.m3u8
Htv[geo-blocked],https://epg.pw/stream/651a5b022cf97353187dcdc34e358149d6806cac855cea4350ea143077527bb3.m3u8
Htv,https://epg.pw/stream/f52153c40b6b0b411cae729634ebc870afd127aaaae7e6863191f7906279d4a7.m3u8
Htv,https://epg.pw/stream/addfc4dd55d0ed90656b826ce31aed490e6226e579710ac0f954ed0fe3b243ca.m3u8
Htv[geo-blocked],https://epg.pw/stream/e8dd5f4c0e75f3ada6ad7c34cfebb266d25ae1d05010ac1911958a9635d202a7.m3u8
Htv,https://epg.pw/stream/e4acb7d8a59819d737f0d92558a6d605fd55ea574c0dc2bc3011a60ead301193.m3u8
Htv[geo-blocked],https://epg.pw/stream/4c094be952474f452cf23dcc6b4cc31b3b2e110b6eab821cde5aa20ecb04ae6d.m3u8
Htv[geo-blocked],https://epg.pw/stream/11582555c2274e69bc3f66bd0405cf6dd7823c530f3a228d146b3392609f10a6.m3u8
Htv[geo-blocked],https://epg.pw/stream/2fa57c1484efaad8c40987f93b440503d38cedec4c9be26ca6f6ac0529199eac.m3u8
Htv[geo-blocked],https://epg.pw/stream/4d861b27af2334419f53ff9abd1f580ceb82e7a654817095a25cabfc39bb179b.m3u8
Htv,https://epg.pw/stream/3af640b2ed70792d34564f9b3c6628113d0c9454b881773ba0f7394137f190c2.m3u8
Htv,https://epg.pw/stream/03f4525cb501efcc11a5fea577341a902a8d7b93ea1bac27c0a98b3f3b3ecc44.m3u8
Htv[geo-blocked],https://epg.pw/stream/3b6765bb07ea2e37ee8bf704d6e3ec7dce20454d4ce16e728f015c803573c13a.m3u8
Htv,https://epg.pw/stream/808b25f943d841e9cc189ec1679ae525a2577d00ce0820bcd932fc045516bf80.ctv
Htv,https://epg.pw/stream/23bf8d23eb3c176e83338be1c3257e98b78060b15e3f8aee12c6b8a467b1de47.m3u8
Htv,https://epg.pw/stream/340703d7176a0920b1856385cf93dec6f8ace6200cf6e13d084ca9a5b59d2025.ctv
KMG 1,https://epg.pw/stream/ff5b9cebff890e7677fc6efbbf7fc00ffebf5d4c6c088951f30e2b637113fdbe.ctv
KMG 1,https://epg.pw/stream/763678b6dcdedaffcfca836e882c0e2c865ef4fe34a6457ee19db0d91c903d6f.m3u8
Like HD,https://epg.pw/stream/744c5a63d6c217fc83cb38de7812abea797e95c668724b34dfec8f8f3a77189f.ctv
MASS TV,https://epg.pw/stream/87e6fb590d0e456389b8a490425be5d81ca9bbe48e5bf8ec6f3fb3c45b96ecf5.ctv
MASS TV,https://epg.pw/stream/a50c85332e507c35bc0fd1e5eeca5d89f38a51638dad79cb5276bfc59333f654.ctv
MNB 1[geo-blocked],https://epg.pw/stream/638884f271766e38781225db922256ae1328fd1a007abb4f7500d8c4b89842a6.ctv
MNB 2[geo-blocked],https://epg.pw/stream/cd3acc61f4320925a27579aa29b3be18d7c938d78c4c3249187f7d2324886fc3.ctv
