#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Generic,#genre#
RTCG,https://epg.pw/stream/271719742e9e80cf459d5ebd7aa8049760519a6f913b81d4f95f3f945fcaae77.ctv
RTCG,https://epg.pw/stream/1f1219a31e69f6dfe640a7be24f271e56ec0aeb4b592e145c6571e09af8ed7ca.ctv
RTCG[geo-blocked],https://epg.pw/stream/45bb5f1e3f6f90d81861baee99752c417da0839d5e9aeca5f46c2325534d2f8a.ctv
RTCG[geo-blocked],https://epg.pw/stream/40ab8a9f1611741063f916a9cd5d281e1e345dc88a1136094f463db5efc03f35.ctv
News,#genre#
RTCG SAT,https://epg.pw/stream/5741c281cd8362c9ccc535d1b5a920a8120ca03570c7bfefb1f4af958802444d.ctv
RTCG SAT[geo-blocked],https://epg.pw/stream/dbf85700fbeccab58be0c08783d6cec5bf413fe2d7afb0f951b91a7438d878f1.ctv
TV_CG_SAT,https://epg.pw/stream/7a7d270146b8cebf23ff395a055985034eac02a214cd92090d2f37a24ca1a570.m3u8
TV_CG_SAT[geo-blocked],https://epg.pw/stream/3f6f0860ec9a82ef3790daed9205aaa2b49155f4356f4426da404cb47569d4af.m3u8
TV_CG_SAT,https://epg.pw/stream/618246c39b33e2e2e388699a5b8476523293df89ca056ad4cf34c4a07782de80.m3u8
Sport,#genre#
TVCG 2[geo-blocked],https://epg.pw/stream/927a4e0346504cfcdc3f67eb3384a0ca1c6e3de0457a4b3c47b731395658f2d5.m3u8
