#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
Channel 7,https://epg.pw/stream/fba4981e839f944342477d377b7e6f3daf8efcb13f9630a1e1c233ca65d4eca9.ctv
MRTV Entertainment[geo-blocked],https://epg.pw/stream/171db0249d421ec36478954c371a9041d4bd3b53538595e2e7b8a27deb72dc71.ctv
MRTV-4[geo-blocked],https://epg.pw/stream/498fda93ab5382ad176e5dd96f5d718381d6313dca3c92290d979b0d0e2967e3.m3u8
MRTV-4[geo-blocked],https://epg.pw/stream/ffef79100c418dd702245b2fbb0160e4422c8f317840cfaeac23994b2a84fd4d.m3u8
Generic,#genre#
MRTV,https://epg.pw/stream/3d4c8def49a5ef10a741668eee74254f093bb2cd31dcada50b8035329dd1f6cb.m3u8
Other,#genre#
Mahar Bawdi[geo-blocked],https://epg.pw/stream/39fe212a41f41e48c9ec58a6ab64c4c1fc34babfb4f809e07c9bc19e9502d104.m3u8
Mahar Bawdi[geo-blocked],https://epg.pw/stream/4d9d99ae60776bf8685114c052d5a0ea16288a03ee8fd9ebaf7b195d1ee0d201.m3u8
Sky Net - Buddha,https://epg.pw/stream/4a0a84d1dd3c6860ebb9bef5a2e7a3c9a6943074d37f0587775e05a6cea2df38.m3u8
