#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
NRK Super,https://epg.pw/stream/baba6e64c777ea1bf7355e731894e089c22729070449ebc480654a79db03df4a.ctv
NRK Super,https://epg.pw/stream/53d03058404b1b2b03582c89b323a194c6ba839a67ee5d6be9a73252f4710f04.ctv
NRK Super[geo-blocked],https://epg.pw/stream/bf618de0a0ba221fb80bd55c6f58bdc9b871aa261d0ae196a34962db5e7d1c36.ctv
NRK Super,https://epg.pw/stream/0381f3391a9ed7ff9ea2964cf85dc863951a9a0df4d4608d7d71344139b4de4a.ctv
NRK Super[geo-blocked],https://epg.pw/stream/a8ec914a0a61e833a02f56ef672de68c65981f2bd1d8d176164590f81dcdec38.m3u8
NRK Super,https://epg.pw/stream/d8423d0962012cfa82a372e6631bd6691958ae62c73381ce138133b972104e2b.ctv
NRK Super,https://epg.pw/stream/b4aa27b20c8e7e1d553ba4d475a10b8f4c4c17f0a71589e27e9accf8dc2f65d4.ctv
NRK Super,https://epg.pw/stream/221ae77316facd79dc558da76bf5f90845d8496a1821a68b68fc737c91c2b32e.ctv
NRK Super,https://epg.pw/stream/4350c64faa2662fdcfb3a67dae84a068c0dca0da6e54501de17cc1ec892dcbf0.ctv
NRK Super,https://epg.pw/stream/e872b62b62b6ebb6ca2028e8e1b5430fce58bbfb5a3efbbb24b962ca41f5c1be.m3u8
NRK Super,https://epg.pw/stream/4ee8b4c73bc33aa3659785c23eccfafc71ca503f175fec17f98a9d24676d2a44.ctv
Movie,#genre#
TV3 TV,https://epg.pw/stream/bd6c1793f333e51f830ad93d6d4c2d47fab7e37b74a8e1e133e98a5468e419a7.m3u8
Sport,#genre#
Fatstone.TV[geo-blocked],https://epg.pw/stream/3dde06a8d1c7a868e0942a7b992eeb5ac256f2ed52f56aa92123982c4b875b75.m3u8
