#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


News,#genre#
Telemetro[geo-blocked],https://epg.pw/stream/55020bfdf2840b406340698320b1734bbeee790938def894129c6ecbf5566884.m3u8
Telemetro,https://epg.pw/stream/db9fcf4b5d8fdc61ab2a209bb22dfa0cf8a9e191c664e00549102d983d9d5da6.m3u8
Telemetro[geo-blocked],https://epg.pw/stream/ad06b894f42f19be926331633d24da986f2d2b06195e3c605721abbf285ebedc.m3u8
Telemetro,https://epg.pw/stream/2cd115b6ea3cef19dc1520c0ae5290f7a5537a39d1f926fd140c13e01a8351d5.m3u8
Telemetro,https://epg.pw/stream/85007d3ac382760755c54b00e31c37fb3c2a362212f58a41ef6c85659fd8e3e8.m3u8
Telemetro,https://epg.pw/stream/7cec659a12f6ac1933f624d60f129150ac2f507bd7d750cf1b0b3613e1008bdd.ctv
Other,#genre#
Panamá[geo-blocked],https://epg.pw/stream/e2e49793333a8607daa3a21ced97cb9328d76881593be105e61314e574a72945.m3u8
Sport,#genre#
TVMax[geo-blocked],https://epg.pw/stream/ab04b6a3a09eab90ed311460a2277fc9897f0553de2b849677d3e6084dabb814.m3u8
TVMax[geo-blocked],https://epg.pw/stream/ddfdb175a7d154851618a1f61ba87870073a6504fd016cbb1624d8e480ef0760.m3u8
TVMax[geo-blocked],https://epg.pw/stream/f951178bc5156eca250091aa7ca4dcb216c49b6187a24a9b0f92acab31d3ca54.m3u8
TVMax,https://epg.pw/stream/8831c0bf1abf3c5984b6b6a2420817938ae05b7568d9dbf159f858ee9e6ca515.m3u8
TVMax[geo-blocked],https://epg.pw/stream/efe2e0528ce3cff098b98bfbf6cfcff55257adf51e1a4c5ae69ef5f303aef5ee.m3u8
