#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Canal IPe,https://epg.pw/stream/b47d691d398216ae73997ca4ab0fae6edea7e3db7187d86f6483b82cebc21799.m3u8
Canal IPe[geo-blocked],https://epg.pw/stream/032cea6abc2094e59745a180ad65775b61d6442fe0ddce50c8584e82c65a423f.m3u8
Canal IPe,https://epg.pw/stream/d10e9b5646c8f6061d3527d8b7805488a4a1f7250f6e8df30ce45331f5f789df.m3u8
Canal IPe[geo-blocked],https://epg.pw/stream/7bb33da7c461d69c0c34fc4fb58dc1c49828358862054539c6dee79386fd0acf.ctv
Canal IPe,https://epg.pw/stream/9eb5ff8a0fa954d1c8a903af277cd0a140a6f98f711e54b9b5b550d87c7bc057.m3u8
Canal IPe,https://epg.pw/stream/7859d1f1eaf0f6871c66c3562398023fbe7e82b67710b83c6962f97de890972f.m3u8
Canal IPe[geo-blocked],https://epg.pw/stream/68cafaa87129d209844aa48efbea6dbc59bc732c4aee5c2ed3c2a8df9c4805e6.m3u8
Canal IPe[geo-blocked],https://epg.pw/stream/6e87ef9741adc3081f93afb5c15cd1698a4d8cfd5499ada78877d41a5b037890.m3u8
Canal IPe,https://epg.pw/stream/ee032f00708b4d009f54fed71af40b033fcb118f998cdfd0929e86ae97fa9b85.m3u8
Canal IPe[geo-blocked],https://epg.pw/stream/b2ae516179ef4dc1bb1f9436c471740756f4fc3bf342d5a83c694407805a1392.m3u8
Canal IPe,https://epg.pw/stream/e550cffb77cef2f85234d65fa2787e6e1453cd3e1af67e32c4680e7d9633031a.m3u8
Canal IPe,https://epg.pw/stream/815c97c37928443e742e9a3e7d47b4d73d55877996113e20a7a12d1121d7f9a8.m3u8
Ribereña TV,https://epg.pw/stream/0e3e772a0b300b4685874127683e3d8fb6369548b33096d75e02f2768657cdc5.m3u8
Ribereña TV,https://epg.pw/stream/c9cc335086d98d08222d337d9965eb0ae0ba17178782bf74762e59b57dfefac2.m3u8
News,#genre#
RPP,https://epg.pw/stream/561f7601f8d4bd105204f27826202a02a1c65088873f4f5cf835e4417ea37f78.ctv
RPP,https://epg.pw/stream/723d03f1e985525a9a4f36b8d65c82f4dd006b2b1a403009afcf8768613b6f53.ctv
RPP,https://epg.pw/stream/391dbc7c3adabde77f1cbed00bf7d33a04c5aa4f3088104e0413b290ffaa2d26.ctv
RPP,https://epg.pw/stream/e9fdc6e2c4faea1fbb74419e7ea730df276cc133084c0dc13c40510137228d03.ctv
Sport,#genre#
Monterrico TV[geo-blocked],https://epg.pw/stream/8bfc860ffee82a8fcb18ffff916b709cd31e7526a722cd1582b6ee406f76a430.m3u8
