#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
jeem,https://epg.pw/stream/167fb57eb1f25d70098cfc0e19e907b23041b1a66c0d070d4fa07875683ca058.ctv
jeem,https://epg.pw/stream/62423189f1775ef3c8398f23781285dc84206ed37d5ee1312b964a44719617ce.ctv
Documentary,#genre#
JSC Documentaire,https://epg.pw/stream/a26686d9b4a9f1bd25b2b4160f9c6b7f63b01eac337312d46a7d858eacb7a983.ctv
JSC Documentary TV,https://epg.pw/stream/874181238e6f088052f92b8c0ed688adaec4c2adce56741f956c70935d543614.m3u8
Entertainment,#genre#
Al Rayyan,https://epg.pw/stream/e7c3def8f6f972934514473d0d960a0210b10b67b3b57099fa307ac7f86706c8.ctv
Al Rayyan,https://epg.pw/stream/e5acfb4ed303534de3b9741181bdc44f856d5c84ebdeebb50c70cb739c434bb0.ctv
Al Rayyan,https://epg.pw/stream/fc06f0a0eda5e86e2f9bdc85cb969539a17f8870bdcb48ef932c25dec24b0cf6.m3u8
Al Rayyan[geo-blocked],https://epg.pw/stream/06b2211b47dd5b4cff2d4e265920ad8683b24516003265e50947136a240b5d5e.m3u8
Al Rayyan[geo-blocked],https://epg.pw/stream/cef1e11b0cd489ba8aca361fce6da2126faa884ca11779f1298850a817f8bdfc.m3u8
Al Rayyan[geo-blocked],https://epg.pw/stream/3b7ac5f97438d50ffd959d4fbd313487bfbf17705cb87a2f39471bdcfce6e799.m3u8
Makkah [geo-blocked],https://epg.pw/stream/85904880a7bf8c7363cb220d8d89a6eb76c9ef08373a3e642ebeb676967b2d33.ctv
Makkah ,https://epg.pw/stream/68f223a27c6898248c23e868a267fc52ed8ec15e00e0db77ff63c2982055a86e.m3u8
