#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Детский телеканал,https://epg.pw/stream/86ac6e0a1468921011a034854ab52a81d706939c64e6f3a6ba300093b5842132.m3u8
Детский телеканал,https://epg.pw/stream/fe6d9f9cfb9edfdb3ed119685f6ff054745df44f9560efc0becec6206a330e50.m3u8
Детский телеканал[geo-blocked],https://epg.pw/stream/ea7063c92fb82c8b90fb57fa8dc387ce1793165595357ec109d2c6ef761fd27b.m3u8
Карапуз ТВ,https://epg.pw/stream/7f7e61f2f2d7cf2afae33b6b1ee0117c4cb4c6621e7e3fb18af5c103b3487189.m3u8
Карусель[geo-blocked],https://epg.pw/stream/d0f894cf39e89ed794979705991f486a503292991ddbd1bf5e606c697aa6af6d.m3u8
Радость моя,https://epg.pw/stream/c8bfb78b82ec9096aded5273c650980a505dc83a6f04d3d8bb40972da2cf09a4.m3u8
Рыжий,https://epg.pw/stream/1ce9d74860d10d7dc5d64fbd546710a77b2d850a8dc0e35376a626706a1758b2.m3u8
Рыжий,https://epg.pw/stream/1994bff766205706134eea338bef1894e0062e52dfecfe948b9c0edbb945913e.m3u8
Рыжий,https://epg.pw/stream/0d5e3bd1e33a8ee9ab098a2c585d0b7d79bb85fea18883f52742f4a9f2007f88.m3u8
Телеканал Тамыр[geo-blocked],https://epg.pw/stream/3559f6823c7c2680bad702391817770b3ea60ca4076810cecd2f58cf7a5417dc.m3u8
Телеканал Тамыр[geo-blocked],https://epg.pw/stream/1c10d03b624e8fb255ff162156a313c6e958e4411b3c6a2b34f10e4bca5c4739.m3u8
Телеканал Тамыр,https://epg.pw/stream/b65878f783a24a2b666aa9512bf9d1f63d52e514607766edd56f466392e60bac.m3u8
Телеканал Тамыр,https://epg.pw/stream/429e27d0577ca604c21b01d06cc83a1fb2b5a7433f0e08464e524ea915b6d768.m3u8
Documentary,#genre#
1.VIASAT NATURE/HISTORY HD,https://epg.pw/stream/c3696ea0a8140e2a4bcd56dcdaa005a0478de0c715a27ee76c2720f4c5c86c0c.ctv
1.VIASAT NATURE/HISTORY HD[geo-blocked],https://epg.pw/stream/0ad7e8f9dfe826f849bd5caa5d8fe9b0abdd08b77f133903acbdb38320cf59f4.m3u8
1.VIASAT NATURE/HISTORY HD[geo-blocked],https://epg.pw/stream/7ec771d37a5fa95c891e06a47b02fda330f4d4e69df3fdc8765c18e1bb0338ef.ctv
365 дней,https://epg.pw/stream/ee8a630630bd67c6721f7fbb757f12392e65f3480df1930ae0ae69986a3c757f.m3u8
365 дней,https://epg.pw/stream/e9c61d0482454984296c29649fa13708ab2761e2f65b562f63529197402aae18.m3u8
Da Vinci Learning Россия,https://epg.pw/stream/eb9298583bd57883a1083ea2b2b5fa52c3f82d8829d110dcea3cddcbfe4b760b.ctv
Da Vinci Learning Россия[geo-blocked],https://epg.pw/stream/1a666a4a3e7c718f1ed95d4da14bca8a319f68ba669a639326cdd1115f748c22.ctv
Da Vinci Learning Россия,https://epg.pw/stream/7887fd7e72ecee40c374e8ff254d5df50a82636167c2266e2d4604a1690b4169.ctv
RTG[geo-blocked],https://epg.pw/stream/f4f75a08948195f70aceda0a7c69ca22a5a679b18accdd596092a44510e0aa38.m3u8
RTG,https://epg.pw/stream/08033e5ac2800dafb3999a821239a01342b03fd31ec9226d20b98b1ef005b99e.m3u8
TV Brics,https://epg.pw/stream/e00f140e329c47885abd6c2f51fc4533a6a2b00a721de257751665d77d92be40.m3u8
TV Brics[geo-blocked],https://epg.pw/stream/3b55cca8f1b1c79cf8fd8e6ea57c3083df524c16cf3d4ba2a372786e1b15a7c9.m3u8
TV Brics[geo-blocked],https://epg.pw/stream/d3a5ecd8e3bb76b772a8cc1b7d703bf3881cb523aab87814b6af50d169413ce0.m3u8
TV Brics,https://epg.pw/stream/c576d5b52026d5293b0de265c74cfd1f55af37077df0b15654b02c2d69179d67.m3u8
TV Brics[geo-blocked],https://epg.pw/stream/a47e4e3e5df6fc1190a8de6d5e888899f678cd0726a628636c8f2308da7f91a0.m3u8
TV Brics,https://epg.pw/stream/48c1b2738a2508ee9914645ba2b40bdfe7721c2c4a44909962f1405a87a4e5ea.m3u8
TV Brics,https://epg.pw/stream/96db36aefa638b884b6b251614f08ceb0d9fc80c3fe6084fd90d2e17b7908a4d.m3u8
TV Brics,https://epg.pw/stream/f15a92602da9edeabc00be4448433effe35e2ff5b153a3a70a8c08ba9985ea2e.m3u8
TV Brics,https://epg.pw/stream/cf400191b374ff7e787786b4ca32ead354f73099dc1b084ce4c0676f8d3143f9.m3u8
TV Brics,https://epg.pw/stream/ad0057c4c36754fa0ae2a37620e93456e59aae6f55915b08ecf4784541a9f56b.m3u8
TV Brics,https://epg.pw/stream/eb18b1121617799397647f2f8af279391e00cee98659fe34fe82a3b239c07fe0.m3u8
TV Brics,https://epg.pw/stream/d386e33284c01cdb5942fb8fc122aec3e31196d8d298a99cb69668b2bbb2fad8.m3u8
TV Brics[geo-blocked],https://epg.pw/stream/29d9e31934883e86e97255e896eb1a0cb85853d1d9b95e6869c24732bc8e5d3e.m3u8
TV Brics[geo-blocked],https://epg.pw/stream/9ae4e65e3b9e3f4aa9216adb13f0933260b56f6c63d875bf412f8798005cff44.m3u8
TV Brics,https://epg.pw/stream/b58109c1ced21e117c9653cc06b0176332c3f86e2dd6e28b9c2ba356cd1c9587.m3u8
Viasat Explore Россия,https://epg.pw/stream/bced51c3bbfa44aeea1f84dadc1db34cc3460b4551d66cd26e48e660651af443.m3u8
Авто 24,https://epg.pw/stream/33f30e6eb97298a508f284670f8d0ee23413f237b4ce7535c3ee8c6b7d60633a.m3u8
Авто 24,https://epg.pw/stream/66aa57108e2664ad64310a01618609cf878c0168c070d61842ae59bafd22b2de.m3u8
Авто Телевидение,https://epg.pw/stream/4568edd8d1c2fb8928bd72084855a0b347fcec628becf81173b53e00dcc2454a.m3u8
Авто Телевидение,https://epg.pw/stream/526043d5c929561339fcbd7b80743f2699e15f26784809c939bf397828a5d4aa.m3u8
ВРЕМЯ,https://epg.pw/stream/c0155c7b4d3a0e99915092312b4b96f334797ef7a3cf62a1d631709b7a542743.m3u8
МИР 24,https://epg.pw/stream/7da6e427dd82ccbd8cde4eb535274b1d80ae5a4ca30a14dfe0aebdbcedee4a7c.m3u8
МИР 24[geo-blocked],https://epg.pw/stream/405636d4015003f00f1514870ede276ec99be593e7dd34a05e773676e45c4aa6.m3u8
МИР 24[geo-blocked],https://epg.pw/stream/9f0535c04b438807566f632e64fac828a00b311711a478cf560f02b0084a883b.m3u8
МИР 24,https://epg.pw/stream/8b37318f04b59a93dcf6f026fdd757c69552fa29e572909445005781b1e550a9.m3u8
МИР 24,https://epg.pw/stream/8cbc43a0500638b1325d00e5668a622c0ef4790d31b4da3e603b3c707cc2a5a1.m3u8
Мир HD,https://epg.pw/stream/95435a44ec26d6bb1601ac538b259dd299350a3f8351db636de1ee53efd5dfae.m3u8
Мир HD[geo-blocked],https://epg.pw/stream/f38f165a27a6f733cc256eebbbe28cd81e5633ef68e40572c469f2f6901a00ec.m3u8
Мир HD,https://epg.pw/stream/ad32bb8ff039078c2ac48f35d1780515ddeb41337406b3f31931d1698bdffaea.m3u8
Мир HD[geo-blocked],https://epg.pw/stream/9c6b8363d33e076456a11b4cba85a957363235d4d500c39d8c3a9e6a2d564313.m3u8
Мир HD,https://epg.pw/stream/8fbc7bf5187a18f56e1c9a27c66a3ff89d9c01cd8a11ec7c8febb1cc55946373.m3u8
НОВЫЙ МИР,https://epg.pw/stream/ea81cd69776e0ab32fc91a1c50f1b6ff4652fdd80a0f2181636181f4b214eeb8.m3u8
НОВЫЙ МИР,https://epg.pw/stream/94219366541b3d7c448f2ceaec96d6a09ce537c0c6342fef790db858d93882bb.m3u8
НОВЫЙ МИР,https://epg.pw/stream/2ca0221aafe96a250772533f9f74c2eea79c213fcbcef5b73be339e0dcf029c9.m3u8
НОВЫЙ МИР,https://epg.pw/stream/5aeeeea8883dfd521c54488e80d4038c54d30443a16c754d91e9db73e63fddd3.m3u8
НОВЫЙ МИР[geo-blocked],https://epg.pw/stream/b5ef12c562d1481ae07bb0ac01136df2ac82512e9c7403bff825f4f839a919e6.m3u8
НОВЫЙ МИР[geo-blocked],https://epg.pw/stream/51e1b8df83a0d6b3575aa8a6f26cef21f15b83ee54fe4d2127f3312f9a74a9f7.m3u8
НОВЫЙ МИР[geo-blocked],https://epg.pw/stream/ba0fd223d1cab5efeace1e20a88d062ec3eeee95f732ccd693a3c5aa9b385c16.m3u8
ОТР[geo-blocked],https://epg.pw/stream/5de6af14e837499b5d48d3d9f5f7ee5eb727b909e11919869f237c9072e52aaa.m3u8
ОТР,https://epg.pw/stream/1b474c8608a2202a004e692035887b02daf15a6d89cf527668786754994dcf5f.m3u8
ПРОСВЕЩЕНИЕ[geo-blocked],https://epg.pw/stream/f80462b3b98f3b8ebe114595624f1a4281bb00021b720340cd9b3377bf71daba.m3u8
ПРОСВЕЩЕНИЕ,https://epg.pw/stream/7bdbb6b93c3cccfaa400ffdacebf205193e42c70aa398f4f7db1a95f8ab030b9.m3u8
ПРОСВЕЩЕНИЕ,https://epg.pw/stream/b3dfc7242de876dffc7c769c3a1c993ee0cadf562f60eafb5c84dd4834dbf8e0.m3u8
ПРОСВЕЩЕНИЕ,https://epg.pw/stream/9109a87d8c55a839a325251664b792a83955831ff50a68d6c54552fdb01bafa3.m3u8
ПРОСВЕЩЕНИЕ[geo-blocked],https://epg.pw/stream/3e1de57f814c87d66897c4260078f2856627984b9999ec30df9b558c0e717ba5.m3u8
ПРОСВЕЩЕНИЕ[geo-blocked],https://epg.pw/stream/e86618237475a6d3e80121a884681c85abdc0aa267ba302df045b3d552b1e15c.m3u8
Планета HD,https://epg.pw/stream/ee159a967d75e36bdb51743cc8272cf6eb383089d506abb4b731bfdefc19d0cc.m3u8
Планета HD,https://epg.pw/stream/014692d79da20064301b370a19f5cd25b190e92e9a74d7294d66f64fe8de83f1.m3u8
Планета HD,https://epg.pw/stream/1fc26dd8784188b1918cb3d94efe750f34f58f912e24d4c31abb0dd1a5766dd8.m3u8
Планета HD,https://epg.pw/stream/22c5eef4baf0407198405335e5d68e63d91ca4f70a8eeacce6b0b3341df922bc.m3u8
Сибирь[geo-blocked],https://epg.pw/stream/c42ce9216f463cf1dde712df25356af6e12abb6994db85e39a62b70d25e053ce.m3u8
Техно 24 ,https://epg.pw/stream/274ecbfd0731e784aeb7c3c6d80c13fb446e37acd009bcb50332e363774b345d.m3u8
Entertainment,#genre#
A One Hip-Hop Music Channel[geo-blocked],https://epg.pw/stream/48e4675cb8bdf41c91d72c76f49f39c30078bb485f896e3dfc5ea3c65b8d9277.ctv
A One Hip-Hop Music Channel[geo-blocked],https://epg.pw/stream/38f9a71099fd9c44682b1bb83c3ba8287e2e8d335d48e8dca47df00d7aca1e28.ctv
A-ONE,https://epg.pw/stream/18942ab7561c334ec95e5cd79cbf893778a183b4105b85923e6244d3661baec0.ctv
A-ONE,https://epg.pw/stream/a59008d7989dddbe8290ab881c93f8434c2eb535f85d5267c051ff4ede9cf5d1.ctv
A-ONE,https://epg.pw/stream/30c49cff6d54f161d5e2cdc74d2ae5ec9c9d9bc2bafcd4eb355b5b280d536922.ctv
A-ONE,https://epg.pw/stream/0dc8e59cc53b2ad776e41459314dbfd6c0b4be914395167d14d25940827cdd45.ctv
BIM TV Russia[geo-blocked],https://epg.pw/stream/ee00b61c82b63013c6ab1fbfcd7c1962e30172ae07c2ebaa153f41dac05b7ef9.ctv
BRIO Music TV,https://epg.pw/stream/d9869cce73af9e81d0e86fc30611e0f149e269e48bdc02c98f5b98f024ae9791.ctv
BRIO Music TV,https://epg.pw/stream/d6e1c519904a9e41834aefdcd2de188a349825595837556f04d40a48da9756d7.ctv
BRIO Music TV[geo-blocked],https://epg.pw/stream/c2aa483a4d35eea3d8e113c2e35611a24e7f072f5231d7c65727a8d6e5437e64.m3u8
BRIO Music TV,https://epg.pw/stream/8e5b7f06df2212c443fd047603645f4c013c380ec4b8eeb66ea89863113c34d5.m3u8
Bridge TV,https://epg.pw/stream/af1ecde6230f1cb5afcc018fe04aeff9ef2a3fe62ddb2c3be899f8b471f6e152.m3u8
EuropaPlus Music TV[geo-blocked],https://epg.pw/stream/a1b218b8af5e51022c2cf09a41c602f7a84a2490a67aeb5907768a6f934c0039.m3u8
EuropaPlus Music TV[geo-blocked],https://epg.pw/stream/c961c982e62630bf5d7d76a703f52bcb3eabeb9d7f878440ce504ad902e2be8d.m3u8
FRESH TV[geo-blocked],https://epg.pw/stream/8cb073091526d3bab94024970a5ff3467b58fe6ea2003a98b3324adb88b48df0.m3u8
Hard Life TV[geo-blocked],https://epg.pw/stream/2044d5e755c6616e109d2f53aed851e277aa4ef40b921e6ccc78dfbc03b15938.m3u8
Hard Life TV[geo-blocked],https://epg.pw/stream/202146663e491e249d939e69ff2e397fba5c476301724181b5ff9afd41257807.m3u8
Hard Life TV,https://epg.pw/stream/12d650149374a0e3bd043ab0d4773c83865aade61cd64a79c0be90879678a785.m3u8
Hard Life TV[geo-blocked],https://epg.pw/stream/c0269ea1d26d10ed9bda73ad8a93261300de301dc53732506e64d7539d6d78bb.m3u8
Hard Life TV[geo-blocked],https://epg.pw/stream/21f7f42b253a1dc94a850d3b166d4415c08a110a70bf9d1dbf8ac221ed94ec53.m3u8
Hard Life TV,https://epg.pw/stream/2843ad2fabd02521f234e07f1536772ab2c2dba532694e76229865cad91c9df4.m3u8
Hard Life TV,https://epg.pw/stream/44e5ba0c80ea8d28bcf654400e5ef9e610ffdaaa506f9153eb4f5821bea8b315.m3u8
Hard Life TV[geo-blocked],https://epg.pw/stream/5dfd5d7bc97af2c89fc1004007accd2a7534731b669f34de1158a99c3c742761.m3u8
Hard Life TV[geo-blocked],https://epg.pw/stream/dec5112cc7276ab978cf7c24f5615d06077e136305dc99eb467f09335d751482.m3u8
Music Box TV Russia[geo-blocked],https://epg.pw/stream/7639c0e6918ea15869b544550987e82722614e80ccafc1fee04b9dfefb7a3d91.m3u8
Music Box TV Russia[geo-blocked],https://epg.pw/stream/e8a99e671c4ad4f4796d84f1ef999f38a4c9545f405f1905773fce108baa0aa5.m3u8
Music Box TV Russia,https://epg.pw/stream/988b51bb8932288c1ee17fd3a5a4b276571fc4e659b729bb5c957853343626a1.m3u8
RU TV Music[geo-blocked],https://epg.pw/stream/3d8a38a43344cc66a4648953fc20a962c86994bcc7ee47d2d1e7c53a8cc3c528.ctv
RU TV Music[geo-blocked],https://epg.pw/stream/76cf6465906f53134645837c1fb21bacbcee77c88db1e98603690511817a1620.ctv
Russian Music Box TV,https://epg.pw/stream/6afe74a47c477e4887848281a911b32b5415c0e0f05fa8964764c7b8fc9daba9.m3u8
Russian Music Box TV,https://epg.pw/stream/ff80009b7f0e0aa132ed7dd2654d0f1ae921df59733ebd5a0440f5aee1279217.m3u8
Russian Music Box TV,https://epg.pw/stream/b5fb81a8178a28a84db261efc98bbc9c53100f085fac5185c30986bdce46949e.m3u8
Russian Music Box TV[geo-blocked],https://epg.pw/stream/f6dbd1e44ea08ca4d751e1fd1e52e2815ec89dd96558d05d7f3bc7cab9400d6a.m3u8
Russian Music Box TV,https://epg.pw/stream/826e0ce679b38e88b5e031497baf9bd22af048f7eab047a8cf083522399fd41e.ctv
Russian Music Box TV[geo-blocked],https://epg.pw/stream/ca3e275c0ba062be35bd3731c9c8d7e42570bd2288549ad5233cde76fdebe713.ctv
TVMChannel[geo-blocked],https://epg.pw/stream/d995e070cf05f388080e41f3ac511b4f4635aab3316db81364f1156d0893a2e1.m3u8
TVMChannel,https://epg.pw/stream/97908eff17e387663fcea926deab11406ffcdefbf170af786cc5d9dc0e044919.m3u8
Teen TV,https://epg.pw/stream/111c52f18398100227989cbbd9f65bec27537a47f42001ac3afee7aa081837d7.m3u8
