#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Dana Kids[geo-blocked],https://epg.pw/stream/4c518dcf7c62b443ec1439d1c697f4c90d365604c839866c5419c866813a2f1a.ctv
MBC 3[geo-blocked],https://epg.pw/stream/22861a3df2ab297d3c59b309ff255e36349f04b08a56e479b5a3970d03a48b91.m3u8
MBC 3,https://epg.pw/stream/3852f6bb5b71599801c71e79fcc1c0d4f1297fad1a5b3fee21e0cddf912495fa.ctv
MBC 3[geo-blocked],https://epg.pw/stream/93b48236d71f9882e89f7d7cd42b9f0f06bde96ede975d8df191d8ad24c07b2b.m3u8
MBC 3,https://epg.pw/stream/aad8176e13eb981fb7866fb0086026ac048ab3755797ba8b7335f7fb54893a69.m3u8
MBC 3,https://epg.pw/stream/c43f36b5378c989db88eaf00424889ede2643c25c2cf8dee4c8070c53af59829.ctv
MBC 3,https://epg.pw/stream/ddb1ae0959f89d96e4603062a31ad5981306e0ff26a84919173071370f0a634f.ctv
MBC 3,https://epg.pw/stream/04d3d40ec06bb4de7a89762f27117b73eaf8dfc0add31b62d4f1d5536543019c.ctv
MBC 3,https://epg.pw/stream/9d3bd9b417f14c8373d11d8c70ee37736b20f9c4d4915ffba715920c8d0c9ca7.m3u8
MBC 3,https://epg.pw/stream/5c88d10c49c9629b079a603f0ef1f0a7bcfa0bc859d92561e301928cc23ffeec.m3u8
MBC 3[geo-blocked],https://epg.pw/stream/706c79595932e0d6e4fc2c5a19339319e6af0e35bb0c7be4d2113bbe4659b3b6.ctv
MBC 3,https://epg.pw/stream/46dc214694556d05c0a9a4f1510c23747fb176c3b2149ce91917461292af4711.m3u8
MBC 3[geo-blocked],https://epg.pw/stream/69573f8849609b5d224727dffa77629d0c8be594f5cb521542577ebf128f9226.m3u8
NOON Kids [geo-blocked],https://epg.pw/stream/38d4d250190f4e182f26d3e7f71502fe1c04bdaa8cdd4cf3c5dae4c50386746e.m3u8
NOON Kids [geo-blocked],https://epg.pw/stream/7b8c0894928893dd8565f0d3979cc1db24af91b0be038ca5406bbfcaae430019.m3u8
Rotana kids[geo-blocked],https://epg.pw/stream/9fa55763b253d2fc540043c6da60bcd07e914226734518575507e60698e2d51f.m3u8
Rotana kids,https://epg.pw/stream/57db13a8c897fe5772abf8f244da96174c8deb618bb577d46be822d5bd6ff6e1.ctv
Rotana kids,https://epg.pw/stream/5be36ae837df124c48c543ade411d7581781700fbebf40e4ed17ac499f97b9ab.ctv
Rotana kids,https://epg.pw/stream/7713863ae8d9ad876987aac334363e716d97a18dd5d01501807b5e4e2aac374b.ctv
Rotana kids,https://epg.pw/stream/6ce0a2ddd86bd867d4057f9e08f803fc2ebb6d77b5ab46fa8faf78b92220fbe6.ctv
Rotana kids,https://epg.pw/stream/95cb1826e5f8f68b330824a8b61bfc75d1de489efd37a449cc6746eacc645ee1.m3u8
Rotana kids,https://epg.pw/stream/a781e2788b9156c0b22969c4fa28a2e10023cc232aab1d480c807ad6c0e01906.ctv
Rotana kids[geo-blocked],https://epg.pw/stream/9fd52f0130e165cfdf7e1844a37fbdfe186cc71b6e1f4b11494869b33b946261.m3u8
Space Toon Arabic[geo-blocked],https://epg.pw/stream/5b4641b3f96163404a578a62374d78fcc00ecafe5001aa9d60890bd532fb41dd.ctv
Space Toon Arabic[geo-blocked],https://epg.pw/stream/b9692bbeb849d880d7f9825a82042b523a1398e394bb7dd57d85e6bfa2e12dbc.ctv
