#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Ani-One Asia[geo-blocked],https://epg.pw/stream/843ec9c370e6b6d6df9ffede1244f6a6a881661e207482e9c1e7b3b90ba17fcb.m3u8
Ani-One Asia,https://epg.pw/stream/bfa66ff4c8f1b5e05e1d5cfd250068df6072221a3c4d47442cff96f3ecc4fd5e.m3u8
Animax Asia,https://epg.pw/stream/f1330bfb561a1c239e4420b1c693a1196a6f8398addfde5e182b38c54945a738.ctv
Miao Mi TV,https://epg.pw/stream/d4c673cc6e96d15e406d0f03fc6cf42c38fa884c5dffd8dff08bc1e7c8b36f74.m3u8
Miao Mi TV[geo-blocked],https://epg.pw/stream/2d19d24dc003d34daa1ca5670acbd7c97760374fddf4d9017853c7c1a02365f3.ctv
Miao Mi TV[geo-blocked],https://epg.pw/stream/48af75f2f305dab79c1b0ef7fbe90b25d1efe98463763b33b3eea46340f9457d.ctv
Miao Mi TV,https://epg.pw/stream/c570702a8ccaa59e05ef25c8a3ce3a684662dc7ad4519422a4dacea8a6232ec2.m3u8
Miao Mi TV,https://epg.pw/stream/8a9a006cc067537dbb57657d0944d1df96cb1cb0dde5e72c464ce0854796778e.m3u8
Miao Mi TV,https://epg.pw/stream/23904b3b530b60e9796c13f2e8fe5b45333f19155f9136dab7f37e763d39ac65.m3u8
Miao Mi TV[geo-blocked],https://epg.pw/stream/414f78427cdc2fb6046d08ee13df07ae5beb563906ee78b2fe6a9cd9a5fe8f16.ctv
