#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
Khartoum TV,https://epg.pw/stream/8b09adfb2e0b41e7c32269c940b0a933cdcb38fc5b6396a1b7fd510dbd58596d.ctv
Khartoum TV,https://epg.pw/stream/03cd455b62d337d4add7251f7fa575de7b9f60f6c64af496955edf23fdd2ac95.ctv
latin[geo-blocked],https://epg.pw/stream/fe3b8c8cbf58e55b4621856bf0d615fd91fe622b832c7c3d53d467ff85a16679.m3u8
latin,https://epg.pw/stream/36a0e531618a3bd47603d15d2937ecf70fb045251911a43fe300d6a386ed8401.m3u8
latin[geo-blocked],https://epg.pw/stream/dcbd671ca688edc98acd567c076e355ea32db2c394f0e855d96e038c44e6c4c5.m3u8
popular,https://epg.pw/stream/68cb05b5de9a2dceb62ab14c2818ad65f0e16f114ba44bc218eda90fa4090f9a.m3u8
popular,https://epg.pw/stream/37d480f3a07d6e1f5f11751d1d321e12b86463c41dfaf927060ce87a4ae1cbd2.m3u8
popular,https://epg.pw/stream/06c1bac77572a82f79cc5d2ce95cdea176366d487952f3311a37ba2c3687a349.m3u8
popular,https://epg.pw/stream/683398626251615f4e59637457d92b8e6c6dc639ddb5bbb751baef956774237e.ctv
Generic,#genre#
Blue Nile TV,https://epg.pw/stream/62234cb6ad2d58620a1714c8c7218c0c94231fb338b4d7c6ed3c99f18791ffa8.ctv
Blue Nile TV,https://epg.pw/stream/ed53dd5c75c2c0103b65f18325f2aacdd98d23152d227d8f9f63024fc63b3074.ctv
News,#genre#
S24 TV,https://epg.pw/stream/4029bb48d266bec20d33945ccb667c37275011341b5fb1e8f550dcc99996e89f.m3u8
S24 TV[geo-blocked],https://epg.pw/stream/bb007c02f14d83efe238100fe6fec39984641c81ff89ce120919b4040aca8553.m3u8
S24 TV[geo-blocked],https://epg.pw/stream/54f7a25907d21cec5f72180f62c55ffdc37ebb18bae37b0ffcef3be5e7777d0c.m3u8
S24 TV,https://epg.pw/stream/a12bb4cad7364d28b89906140f9b6bde137d063445ca918e3031e308e24caf1b.m3u8
S24 TV,https://epg.pw/stream/daa9214a57a2db77a44ecf6e70fd754b1a1841c8e2be3f12f4df8b02a367fae2.ctv
S24 TV,https://epg.pw/stream/fdec97733ded271e6ba4991b6da7e8aa9afebbc4ef37b2585e005442f16a1b63.ctv
S24 TV[geo-blocked],https://epg.pw/stream/aa232655adf835880fb371a3db725f86bf44220fd260315b55a7c0fbdc9a2e7d.m3u8
S24 TV,https://epg.pw/stream/e09d71af6fde1e1483a2630c5e14d8f0dfcf146f9d1850bbbce5913b61514d68.m3u8
S24 TV,https://epg.pw/stream/57cfaef1421989af58b63fe66b4afa05ad2a5d10f17db312453cdf6d5d3f5e04.m3u8
