#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
ROUGE TV[geo-blocked],https://epg.pw/stream/0b83309dde7d5f5a14088413b8cea0031b77cc36110eb3aabd8492fbe7f63305.m3u8
ROUGE TV[geo-blocked],https://epg.pw/stream/bb5ff17ad19bbb1468eed9ed82f052f2bcf834c21f5fd1d0b559b8bd8453f8c1.m3u8
ROUGE TV,https://epg.pw/stream/0142730b17bee48679a68486f5f65c9ddc253573ad529115505e28c43044e287.m3u8
ROUGE TV,https://epg.pw/stream/46c85cf099eefc754e8bd7d8273613b55cdc5ed564dc40fba38f9131ff60a82b.m3u8
ROUGE TV[geo-blocked],https://epg.pw/stream/722c25ae6c7a6a6fcfe1f91f9eb3a2eb90a14e3b76c9d6a04501f86335f9d4b6.ctv
ROUGE TV[geo-blocked],https://epg.pw/stream/29ba95664491feca18653622ebc249325f1179196cc9c1c81b59630baed2e24c.m3u8
ROUGE TV,https://epg.pw/stream/191d4098b19eaa21fe264d6fd2cffb618aedae86ce8a488c83dd8babad6fa566.m3u8
Generic,#genre#
Canal Plus Family HD[geo-blocked],https://epg.pw/stream/a0815d92a14999cb1a353e05e5e67e2b6d8ec62947b26a14118985b37b18f734.ctv
Canal Plus Family HD,https://epg.pw/stream/fab95331f1fe1bae66821b4b7519993632729bd3bf9d464b6ca44148ec633302.ctv
RSI La1 HD[geo-blocked],https://epg.pw/stream/a4779c71ddceccdac2762a39744bcbb0a35cd9e6fb268f85a5bd62295f8aa662.ctv
