#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
SpaceToon Syria,https://epg.pw/stream/e44c5bbb6d5e8ad9cc34c579de7d2164cc283166e76d399012390552bd589de8.ctv
SpaceToon Syria,https://epg.pw/stream/c80ef282a286af27141a3901e71fc0c49706dc629e423414cb6af73dd1ee3776.ctv
Documentary,#genre#
Shada TV,https://epg.pw/stream/ac634c1ef39bddd1a4fb7bce7fc1923dc2d69430d10bd7ca6dd925ed276478bd.m3u8
Shada TV,https://epg.pw/stream/8b10b342cb549149c2061a52cb3d961b978d8cdaed61fee086bd956fdd9968d4.ctv
Shada TV,https://epg.pw/stream/1409df8b8c67d93e114c4ae0bb917da26e75d86601d5bc05570b02279cad315a.ctv
Entertainment,#genre#
Liwan TV,https://epg.pw/stream/5f333c13636886edcd68893296899cba988d6919ff010f4a18df8544bb4f8f59.m3u8
Rojava,https://epg.pw/stream/91023523a75a41ec3c5b4f7c4960f2596de2c5effa0942f15fec7aaebd283e18.m3u8
Rojava[geo-blocked],https://epg.pw/stream/2687edfcb512b014e9ad36f15af805d47e71c1994a08044e48ce9bc53d2fb2ec.m3u8
Ugharit,https://epg.pw/stream/01e1f22fbbc6fc3f1d04e36c3d4d891744a03114bc9d67cc33a3776e5b1aa27c.m3u8
Generic,#genre#
Alikhbaria,https://epg.pw/stream/4089c52f183abae36bb8577c83f3c4de3d07e80ea86ac2b5c248266bda8f6356.m3u8
Syria Al-Ghad,https://epg.pw/stream/5513d07cb8098a69d3f8048133faa6e9dbfa66010bfe2332e4b8e922d51a9cef.ctv
Syria Al-Ghad[geo-blocked],https://epg.pw/stream/076ab44c40c1f6e126b3f99e55cfa6115ee2248e916d456a6a1377861ffec345.ctv
Syria Sat[geo-blocked],https://epg.pw/stream/6ec973a4c54d2826f34be64faf89c6afb9dbc99f384b751c125c12713ea43ec5.m3u8
Syria TV,https://epg.pw/stream/72e146409a5353d641a6b6e62962cba694ca3a36b7bb52bbfbaabfb11b210c33.ctv
Syria TV,https://epg.pw/stream/7daaa10b388a55f6fb985ef4f67a18f602fdcb6967c3703610dc9d31df217e89.ctv
Syria TV,https://epg.pw/stream/655f8373c6405f79493bdc4c76a4e2616076e14ccafe0b348f6ca65de218965c.ctv
Syria TV[geo-blocked],https://epg.pw/stream/6ad62d6add33468f522b70a2ae88efa9ccd4ae0efbba1f02aaa689c244ae5c25.m3u8
Syria TV,https://epg.pw/stream/8f25b678d1ed2be3b2fcabccaf24bd2fd06b0bc53a3768cea5fb00fe7ba2a63a.m3u8
Syria TV,https://epg.pw/stream/bd0004acadc8616b82b1c7ad2cc9375bfd74a399bacaa7c9f1e9487ccd9ec2e2.ctv
Syria TV,https://epg.pw/stream/fc5f4dd492f1de4e43d5296e6c6e30ba0f88cbb3b9ed9e7188748a8a6161e53f.m3u8
Syria TV,https://epg.pw/stream/88255693c390c92c81a9dd7e85482fadaeb92c2e9b04539ad5185f3bc276f9f9.ctv
Syria TV,https://epg.pw/stream/5070d9336c819b407c007bf2aac6af36415c0414a722aca7102b08dcb10c05fe.ctv
Syria TV[geo-blocked],https://epg.pw/stream/9ea6aa530be9eef0a8bf24718f08051d4367ada2220cca78a1b7d2d64aeb87e7.m3u8
Syria TV,https://epg.pw/stream/5348e9dd022632aafde18f6f2852514f7b23e67eccde0a0f711fa7601f7a4391.m3u8
Syria TV[geo-blocked],https://epg.pw/stream/49468d107031c25dda994827341b4109ddd1de5e782930ef0b8e8f48348f67df.m3u8
Syria TV[geo-blocked],https://epg.pw/stream/9ead8c17b89cce614696a6c9bc67e7ea6ea209e950f344f725275228083b9d3f.m3u8
News,#genre#
AL QANAT[geo-blocked],https://epg.pw/stream/11f5f3a3736e28b3777fa7300d6925f44edd5ca88197962dc9d93b833a5d95c0.ctv
AL QANAT,https://epg.pw/stream/c71281c05e5430116c52a525468d59749cea393f372a2e620dfd016aff678dbb.ctv
AL QANAT,https://epg.pw/stream/62fb9622c5c55bfdb17e9037db52b2106a3d0b30061eceb2b27a2e97fbee1017.ctv
AL QANAT,https://epg.pw/stream/e135d64216b394eeb649ac87d3af069d32a52f3aa056018bf595a5c1ecbd76be.ctv
ANN Syria,https://epg.pw/stream/e41647621b3f9c184619c41b666881b17d4ea1ef99ca216ae30adf4584ba32af.ctv
ANN Syria,https://epg.pw/stream/51d918a3843ad59fb89748ba1204668b651edcd03171bbfd0909c6f4410fc806.ctv
Al Eshraq,https://epg.pw/stream/1e42c8e8e5d6759e8abd5abfa0099dc1db9284cf98750fd5577e0ec2d9b03a7e.ctv
Al khabar,https://epg.pw/stream/626238e0506db98fdf55cda737f626a1e4eea733a02a67709eea3efb8e834268.ctv
Al khabar,https://epg.pw/stream/23261eb002adbdfa6e8bd17201609d495182fb55d0c8f37c390ec02aa79f3e04.ctv
Al khabar,https://epg.pw/stream/d381f3ca8f8dfda146ee08c8363070565d14981e7cd1a6ed414089086b4bcb5d.ctv
Al khabar,https://epg.pw/stream/d8da4f6e0d63b5b8de11c3be3a17e1602f02a52f279a9966dbf854b70b4fe88b.ctv
Al khabar,https://epg.pw/stream/9886b8ecc75ef2faa56e76b3cc0aabd69d1f50551bedc4baa3b31cd5c98f4243.ctv
Al khabar,https://epg.pw/stream/7d423b4e65edff14dc59ff4bd14fa2265950fe6b98d93c79d177895be0f2ebd0.ctv
qamishlo tv,https://epg.pw/stream/07a292f43737e38ea4a8ec60798dd89fb21a5513bc037d138a7767bd2a697c8d.m3u8
rojava tv[geo-blocked],https://epg.pw/stream/e1bdcf29874d1aa42d6830aceb89fd6ef621026348963dfb8208020093153d99.m3u8
