#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
Cartoon Club[geo-blocked],https://epg.pw/stream/236ccf9d72257ea6e8006fe9fbba232378ae316e6b2831af216992d2e9afaa8c.m3u8
Cartoon Club,https://epg.pw/stream/e3ecc36c2bff02565866df6f1e25319f314b0d529b9958f54d33f936f66034c0.ctv
Cartoon Club,https://epg.pw/stream/baccd418d5a3552bfaf564e85348f2debedff88d52208d6713718d2a4e56fa89.m3u8
Cartoon Club[geo-blocked],https://epg.pw/stream/8d1cbf78365f6f7224ecabb5f3698024b5446babcfffe5f9367de5266ae1cc3d.m3u8
Cartoon Club,https://epg.pw/stream/f63aa6dcce0407697bbdd7f36f9fbc62a9bdc106a01f660e12f05e27262f30e5.ctv
Cartoon Club[geo-blocked],https://epg.pw/stream/5566951080e02d61036a65dfcd0d7eb414fe56ced1eb4ff2048dc3066efab9db.ctv
Cartoon Club,https://epg.pw/stream/cfdf8dfad289b1c490a06222c5f4c70e118fa4385afa5fbdef5cfe322e95f1a6.m3u8
Cartoon Club,https://epg.pw/stream/a7bf838440b9bfe72a508ae32d31fd165d9399ef8f87b9bbc319beef38ee97c3.m3u8
Cartoon Club[geo-blocked],https://epg.pw/stream/d3733e95fd0da9c4e4b836f5ad605c553ea5208beaaab3a3ee23faa3843faf06.m3u8
Cartoon Club,https://epg.pw/stream/1a281940247a650e5da5ffaddce831728e7d8f7e78bb2eb4b6aa700ad036d911.m3u8
Entertainment,#genre#
Digitaltv Thai TV[geo-blocked],https://epg.pw/stream/f2ff6bedef52eae702100c776118a947ac20f400592529d2174f87c1d23b66ab.m3u8
Loca HD,https://epg.pw/stream/7eb647b9cf37ead763d868ac6dc8f4a2298ea890e2762ac051040b0cb533475e.ctv
Loca HD,https://epg.pw/stream/b1456a629be9e09fa814cae53a24ce02a11c7a398e1d157380ea4733157ee5bf.ctv
Loca HD,https://epg.pw/stream/baacf159c77749a3fc66a79343e0d0beb1c43d3309414337a95b119a25d8f661.ctv
NEWS TV [geo-blocked],https://epg.pw/stream/2b17e8e7d87ca9f9eb9007e3214329ca8fc0599e6f5436bf9c1d779ce43fb72a.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/aa6b24a488bb79297f78de5ade7e252198941abba6ec08cc7ed2bc9f75575851.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/995d54f93ba774b270f04e3a197388b9a4d1ff07377dc929016a65f10ba8444e.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/cdc776020116c0cb95759f0d36465558af2756e83131206016212bf49275ccf9.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/6c2b50244bcbf0e6e4e18a5e0c0742dbb25e4ab0bcaec8feb98e1ec46b02944f.m3u8
NEWS TV ,https://epg.pw/stream/d6958edf8e084e0b30cd46c9dc2285db5df872be28385445aaeac9e1cdad30fb.m3u8
NEWS TV ,https://epg.pw/stream/db36156642172a01f3412507f8d15890458c26d0399d3a908efa69daa4f0714a.ctv
NEWS TV [geo-blocked],https://epg.pw/stream/5449a6a807dc66e5a327bc5ff1efee11d933f50158615913c7293f3f4af61f86.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/2c9b38734c4c23d7f36317269d4ec5cd52ad6a7f24db4c708fa1bc7e89a27732.m3u8
NEWS TV ,https://epg.pw/stream/8f7a5dac06b82cbc5a3bbec9579f7c9023f645e798397c12726484372fa9d22b.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/a5aad300f01e38d40dbdb051a1c9fdcae78a4d16693d3066db9cfd9d298170fe.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/560aa90900cedf40ac491692e789106f0a6b6665eb12ae0281730bc1b9322759.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/1af0ef9f00998770afc1f8dcdc210238bef7c34058014a412ddcfb3f1e894f9b.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/a8400938e74382151d075424831375c496c28e974feeb1e6c732b43fee659fb9.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/c562d9cc30741f04d27e6dfbc7faf222f895630fcaa41df2fd27b0e85d96b428.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/963866b9e2e85839617404a87c66c7d779a857139b9a99dfb41d5bac8ec136e6.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/2e6332596d77d863f994430609a8d0af704a2c4db00f40d26fb2d7362e35b902.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/9cc531248bfae2eeff727a3d1a49a056e6671383157154727ade78a98aadd700.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/fbc583e78ad1081411e6925843a0b834439a7a9ff3b22090179b685615c1359e.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/aabd7d642c9ec0551c65414d5a6bb63e164625bef23f0baa0ba61167887a68e0.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/5cdb18c51cc3e0e3d219d7ad1e03aee456a47b1c359e058dbbea3ff238fc3a75.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/9e83266e3ff9bee1cf1f9fc1a2783db57bb981c932f2e7edea9bb7f68f616718.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/52d3d25341a0d71d5c7d84bed32cbbe100db96e61b8392ced28f717822087ed6.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/94df2853d25482c9f8e5fa9f7b5775d54ee99636284595a38a01de7f69004035.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/eaadc858c1403e92ee61a29006e962c3d403fca2296fa0ceff11be6326359204.m3u8
NEWS TV ,https://epg.pw/stream/9373381213f4c6576204d8f3ef481527d885d3b2c8107bc103b101834cd0b887.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/c2a809b0f54e49d7e01bf6779562289c5e69a62a09747acf0269c3c0d70d9a52.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/cc7bf7dc802265020b19f328b526f657bb0ade3432e2ff52752a86ad65dce91c.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/666ee3a1c142b038a1a37d03039269434b91655cdad906b101271686da24fc52.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/0a465b14ee71ee63da946ae061de353a2d3bb1e4bdb5b0f8b37d9941e839455d.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/31fb0775c41790979189036ba6f4da5af0e69a8bf05c6e956d0cc44dd6c1a007.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/d03fe55b68aae103b7fe756b9fb2308da19c6eb43f4b6d2b0d50f4fc15595729.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/af1c19919d6c6832da688a0aa3769c1ee2d49f3145e8b4da539c771de19cd593.m3u8
NEWS TV ,https://epg.pw/stream/2f1ef232e6717728de9c86dd9c11186c16b5b6df18ef40807f3114fcb2efca62.m3u8
NEWS TV [geo-blocked],https://epg.pw/stream/91622946179ce72bc2e68b430bc50ab93a8cb072a062183067663deb04d9291e.m3u8
POP TV Thailand,https://epg.pw/stream/82a1701ffa0039d82434125710f92b902423530f7301f30274c8000564c96615.m3u8
POP TV Thailand[geo-blocked],https://epg.pw/stream/8f9c803a4a2df91c360279a2e7069b6b6d10d8f18e00c46e41119540142f1ddc.m3u8
POP TV Thailand,https://epg.pw/stream/00d271da0fe2dc6aff81cf6fe2763b545db18d978206721a77a3f89d4d5ce077.m3u8
POP TV Thailand,https://epg.pw/stream/9c401958afa2b6efd898131734beb2c0b3217504523f040fddc891d674131c83.m3u8
POP TV Thailand,https://epg.pw/stream/3cd655dfbf0eeec2342385b7ea95a801d6c13811dbe1c43452d141a05619d245.ctv
POP TV Thailand[geo-blocked],https://epg.pw/stream/1434a631bf7bc740388726b2e351fd4c30165a33fab916d662a907d50f81a090.m3u8
POP TV Thailand,https://epg.pw/stream/f6e8fe4b51fc957e1edbf2e6c571a53a2c691db03f96ae7adebe16341c1d02d5.m3u8
True4U HD,https://epg.pw/stream/f98dac827c7fc072efab4dd6aa3204f4d76421c3908b0289d7abd875baab0d0f.m3u8
WorkPoint TV[geo-blocked],https://epg.pw/stream/a3c4191462a518895e3c35c5cd1e2dc2b89d037addde709f9ab6068788626462.m3u8
WorkPoint TV[geo-blocked],https://epg.pw/stream/3e2a3804bbf60486387fc9d9f8991d54b54a5a1d91220c91bd5b2581c6d26f5a.m3u8
Generic,#genre#
AMARIN 34 HD[geo-blocked],https://epg.pw/stream/f7e05722412056cfd9e08866d6bb389a5ae1ca87ad1f630691e4ddab7f707bf1.m3u8
CH 5 HD[geo-blocked],https://epg.pw/stream/524cc874fe0b7b5a971bf516dc1b5f4b4ec9ceb4d1f78bcba7ad1d9efc3f2392.ctv
CH 5 HD,https://epg.pw/stream/bec31a0a4dcd7363a1871c1d57e56760dcc5e8b9afd1313c78ddc243bb1da5a1.ctv
CH 5 TH[geo-blocked],https://epg.pw/stream/053d1f6daf03de16e96d8cd791521e66c85c73a74c4f1fcb6e73cfbf69ed6ae4.ctv
CH 7 HD,https://epg.pw/stream/6b767bf53aa320101be8e83149ba1b3da71ae4bf366aa5e6bf4f1d43c81ae90c.m3u8
CH 7 HD,https://epg.pw/stream/b5d591e3861a893cc9e910636d24c1e17b68e4a253053c148014dd576efdfc6b.ctv
CH 7 HD,https://epg.pw/stream/eb9e11cea84241d8f02ee66aaa37df96779ae16176d378ddbb2d8af8a1d634da.ctv
CH 7 HD,https://epg.pw/stream/8a789a18a0e82daba0a337e1ae581c1c29e3981d6778b29b3a653ebcc9a1ccdf.ctv
CH 7 HD[geo-blocked],https://epg.pw/stream/277731fd1dd2e2237c12e1357bb779aaabc8feac5d879006ca934a51daceb613.ctv
CH 7 HD,https://epg.pw/stream/6d4a10406f935072c81129978cc23a4002a36cbbdf6c5486b61213fe022d2e37.ctv
CH5,https://epg.pw/stream/b34693626566a7ae067dd3b68761ff135abd2cac52cdb1b728a915f58cbdf5a6.m3u8
H2thai[geo-blocked],https://epg.pw/stream/474b8ddff5fe6192c3ae484987398e1438f96e9c2689eabe5792d55a947941eb.m3u8
H2thai[geo-blocked],https://epg.pw/stream/b6484e520e77c999ab4f042409e9336b385f0783d001d54dcf341226de41320b.m3u8
K+ PM [geo-blocked],https://epg.pw/stream/d8a9d3b203070e0269ce1815bc577f57b1cd1c87b371c4bedff7c07c82a738b1.m3u8
