#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Cartoon,#genre#
ATFAL WA MAWAHEB,https://epg.pw/stream/228afc2538d551d279692aa071d1ba362a18654514b33072a80fe7cc23e5cba5.ctv
ATFAL WA MAWAHEB,https://epg.pw/stream/201fdf006f6cd3ce02c62ee8ccd846a78103adb795c318e8d8512c09621040fb.m3u8
ATFAL WA MAWAHEB[geo-blocked],https://epg.pw/stream/f4fd8b6c9ac7d4a679ac50724bd1d771f175184c4333a46fc7ee4b4637b3e81a.m3u8
Baraem TV UAE,https://epg.pw/stream/263fe9e9447f1d62d55184a5d2c8d029b61b9990cb609c87b4764b54bb150dc1.ctv
Cartoon Network Arabic,https://epg.pw/stream/057750476dc01d155eb6d7517aa035d4dcd54e6decff3fc6025a0a67cf76842b.ctv
Cartoon Network Arabic,https://epg.pw/stream/b8cb3815cfdec9e8210e94605aec8e20858ba43329e7003c85b978c11d4fb857.m3u8
Cartoon Network Arabic,https://epg.pw/stream/5d60e5cb435a8ca455819d412dce54b8c446a38c0bacef2c6f55212c3c9a8466.ctv
HodHod tv,https://epg.pw/stream/ee95b26002f93349c76d05d0f4acf88e290a9d028bf6f1c56919331ecccdd691.ctv
Karameesh,https://epg.pw/stream/64befd824b84c06f26e31c2b2800b2031e9d746e495b2bb213fb21efe963e71b.ctv
Karameesh,https://epg.pw/stream/2f3c1f89e2ac4b414ee47bc2f75bb79f2947c020af96aef7bc977d79314124e9.ctv
Karameesh,https://epg.pw/stream/53b419ce3be56918a1f7fad5ec217660ea3f399afb14be071ec3f4657fce885e.ctv
Majid Kids TV,https://epg.pw/stream/4f74c66153554babce3c14ec3886ee3b5375d9044ef1247b6ed7d7bad0538a7e.ctv
Majid Kids TV[geo-blocked],https://epg.pw/stream/08d3e618b5f1084e02092588e474a7f90f632284c318023aecf8baa3e4394c02.m3u8
Majid Kids TV[geo-blocked],https://epg.pw/stream/c8a55c715b44a6094ad90cf72d8a0320219af78b5c03df7a54dd549e9f89d010.m3u8
Majid Kids TV,https://epg.pw/stream/b84c95bf03b9e3d782e0dff893315efd89f6f5c5e476e7fa3e1dacfa08e9bd06.ctv
Majid Kids TV,https://epg.pw/stream/109cba4a5fb7d70b985b592b1925d93f248cd940377f7550bb19fc979be78550.ctv
Majid Kids TV,https://epg.pw/stream/a057438b304570e440f3353a74afd576d72354970dc75bed1a372ba26174fc13.ctv
Majid Kids TV,https://epg.pw/stream/5214a00a5b681731a774230b8693db75b39c4193f9c6a103cf2a0bb9e3c05584.ctv
Majid Kids TV,https://epg.pw/stream/04f365d00b07ca2ed72bb3c8f18c8ca16a93766c553bf82d0ee72e6c3a971d6d.ctv
Taha TV UAE,https://epg.pw/stream/412f8b4dfb6a8810f8091d5d230ca227e6b38e2218eac86453a4fe19a1522775.ctv
Toyor Baby[geo-blocked],https://epg.pw/stream/e6071e0ff7ba3a09c9875940bcece57ef72df45011603c2e9c47f11dcc9f0f0e.ctv
Toyor Baby,https://epg.pw/stream/e1e06484fd5541ed29f980bd0c7f1411a382f8d498ab448b1d07ecaf87122718.ctv
