#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Documentary,#genre#
Al Massira[geo-blocked],https://epg.pw/stream/04d377e2f4d52ab4ae568b959d58fd6a5966e4941a944dca06ded2a1c6bdae43.ctv
Al Massira[geo-blocked],https://epg.pw/stream/76a571754e55c4655d58ac9f1a6dd391330ed402dcd9b85ff64bceb12e4ee494.m3u8
Entertainment,#genre#
Suhail TV,https://epg.pw/stream/d80958be8ffd1df2e303fbaffe0f09a377c8403cd241e35ac8483042cda974f2.m3u8
Suhail TV[geo-blocked],https://epg.pw/stream/2ab51f4a801c5dea548fde8412bcd22981c47c19179ae9de924dc6d268ea6f38.m3u8
Suhail TV,https://epg.pw/stream/eedc646aa646a471ece8068718a280e5fec6219687d45ced9376653d746550f6.m3u8
Suhail TV[geo-blocked],https://epg.pw/stream/cc63c339e9d96b55177eeedb4c11c3d933c678bdc9de1cd0cae962de89c92fac.m3u8
Suhail TV[geo-blocked],https://epg.pw/stream/ba8696ec5cfcb80a76f51e35eb3f1add009897cecf31934b935e1e91e8fe0b5a.ctv
Suhail TV[geo-blocked],https://epg.pw/stream/4befc8e65fa69ef6571b8f779145dfe129af8caff131c38e854d56997e32cfad.m3u8
Suhail TV[geo-blocked],https://epg.pw/stream/0d18d2a358a600e13939a553ca22d25fa20db1865232ce78ae539ed7cdf6985a.ctv
Suhail TV,https://epg.pw/stream/0800d0effc76abb857091fae9eaa2ec3e652784ee19f42382df0791b831c212c.m3u8
Generic,#genre#
YEMEN TV,https://epg.pw/stream/b5108298326696072530dea01e957c15eedfa797c4487007423613c5477d58d4.ctv
YEMEN TV[geo-blocked],https://epg.pw/stream/033cfac1073deb9106ad0df3a72a5e7299a2c9c0c286f70e1fe7b4ec79925465.ctv
YEMEN TV,https://epg.pw/stream/f3b7341377e1cde59275561769847400dc6383f60282bccf7a551a1adf4a94a6.ctv
YEMEN TV,https://epg.pw/stream/87a2ce6b9cb34b59a5ba64f45f05240bac88a7d28f7224725fe3c1124ce9ae82.ctv
YEMEN TV[geo-blocked],https://epg.pw/stream/f4df44615f75cef42779e22e2b301b5a81d6eca1e31fec0c97c158200366120a.m3u8
YEMEN TV,https://epg.pw/stream/312d6e59714f93a3fead494b11a6aa1ba7cdd821e71a27a54e319623a797b189.ctv
YEMEN TV,https://epg.pw/stream/ca0c4382ec138a16930f659235fda39f537ccede958350703d5d8f367f0a299e.ctv
YEMEN TV,https://epg.pw/stream/cd1feb503e3f5025cdc9d5fcd490c14ee5d3e7c0f0d46cc8033351968b2190fd.ctv
YEMEN TV,https://epg.pw/stream/15cf4885abd33dd5571490b9532989675c8e7011a4cffcef61301699f0ad430f.ctv
News,#genre#
Yemen Masira,https://epg.pw/stream/a8f917cb523b18cfc2324bdfba104f59d3edb8af84968c6faa14898ed93c3867.ctv
Yemen Masira[geo-blocked],https://epg.pw/stream/83fca8e64746bf271f6685d25d107ad5a5b9b453c7b725e0c4e594a933fdd0e4.ctv
